time	label	source	6859b8e6126b	c69294c41e47	e7b2d23d89ec	e9bdcc7d8fe6	ef3b3dd2a002	ef3b3dd2a003	ef3b3dd2a005	ef3b3dd2a006	ef3b3dd2a008	ef3b3dd2a009	ef3b3dd2a011	ef3b3dd2a012	ef3b3dd2a013	ef3b3dd2a014	ef3b3dd2a015	ef3b3dd2a016	ef3b3dd2a018	ef3b3dd2a019	ef3b3dd2a020	ef3b3dd2e001	ef3b3dd2e003	ef3b3dd2e004	ef3b3dd2e006	ef3b3dd2e007	ef3b3dd2e008	ef3b3dd2e009	f80332eda645
86	ES	Pixel	-200.0	-200.0	-200.0	-200.0	-101.0	-85.4	-200.0	-95.5	-100.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-99.0	-200.0	-200.0	-83.0	-200.0	-200.0	-200.0	-200.0	-200.0	-83.0	-200.0	-200.0
8	AH	Pixel	-80.5	-200.0	-104.0	-84.0	-200.0	-200.0	-200.0	-200.0	-200.0	-100.0	-93.0	-99.0	-96.0	-106.0	-95.0	-200.0	-200.0	-99.0	-200.0	-200.0	-83.4	-200.0	-200.0	-83.6	-200.0	-200.0	-76.25
67	TS	Pixel	-89.5	-200.0	-200.0	-89.5	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-98.0	-96.0	-103.0	-200.0	-200.0	-82.0	-200.0	-200.0	-104.0	-96.0	-200.0	-200.0	-93.0	-200.0	-200.0	-92.0
28	SA	Pixel	-200.0	-92.0	-200.0	-102.0	-96.0	-200.0	-95.0	-200.0	-94.0	-200.0	-76.66666666666667	-91.0	-96.5	-100.0	-200.0	-200.0	-97.5	-200.0	-200.0	-200.0	-98.0	-200.0	-200.0	-78.33333333333333	-200.0	-200.0	-82.5
47	DC	Pixel	-98.0	-200.0	-100.0	-94.6	-91.2	-200.0	-103.0	-102.0	-95.5	-101.0	-200.0	-83.33333333333333	-92.33333333333333	-93.0	-200.0	-100.5	-83.0	-76.2	-200.0	-97.0	-92.66666666666667	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0
68	AT_CA	Pixel	-200.0	-87.25	-88.66666666666667	-97.0	-87.33333333333333	-102.0	-93.5	-96.0	-80.0	-84.0	-85.4	-85.5	-89.5	-89.0	-90.0	-99.0	-200.0	-99.0	-85.5	-200.0	-97.0	-200.0	-96.0	-88.0	-91.4	-99.0	-94.0
115	AT_I2	Pixel	-102.0	-96.66666666666667	-88.4	-93.66666666666667	-87.0	-101.0	-92.33333333333333	-87.0	-91.33333333333333	-81.0	-73.75	-91.33333333333333	-87.5	-94.0	-91.25	-95.5	-94.0	-94.0	-94.5	-200.0	-91.25	-200.0	-96.33333333333333	-88.66666666666667	-88.66666666666667	-97.6	-83.66666666666667
24	DF	Pixel	-200.0	-89.0	-200.0	-200.0	-99.0	-200.0	-200.0	-200.0	-88.0	-93.5	-200.0	-100.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-87.5	-200.0	-200.0	-200.0	-200.0	-85.25	-92.0	-88.2	-96.0
118	AT_O1	Pixel	-200.0	-200.0	-81.5	-98.0	-72.0	-93.66666666666667	-75.0	-68.0	-91.0	-82.5	-86.0	-89.0	-84.66666666666667	-85.25	-94.0	-95.5	-100.5	-97.66666666666667	-88.5	-200.0	-91.5	-200.0	-200.0	-200.0	-90.25	-97.0	-88.5
79	AT_CH	Pixel	-200.0	-97.8	-89.8	-94.8	-85.5	-103.0	-87.5	-90.33333333333333	-100.0	-92.5	-90.33333333333333	-76.0	-90.4	-81.0	-86.5	-97.0	-93.66666666666667	-88.0	-100.0	-200.0	-83.8	-109.0	-200.0	-98.0	-200.0	-200.0	-98.0
