time	label	6859b8e6126b	c69294c41e47	e7b2d23d89ec	e9bdcc7d8fe6	ef3b3dd2a002	ef3b3dd2a003	ef3b3dd2a005	ef3b3dd2a006	ef3b3dd2a008	ef3b3dd2a009	ef3b3dd2a011	ef3b3dd2a012	ef3b3dd2a013	ef3b3dd2a014	ef3b3dd2a015	ef3b3dd2a016	ef3b3dd2a018	ef3b3dd2a019	ef3b3dd2a020	ef3b3dd2e001	ef3b3dd2e003	ef3b3dd2e004	ef3b3dd2e006	ef3b3dd2e007	ef3b3dd2e008	ef3b3dd2e009	f80332eda645	source
0	SS	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-89.0	-200.0	-90.0	-200.0	-200.0	-200.0	-200.0	-200.0	Pixel
1	SS	-200.0	-200.0	-104.0	-87.75	-200.0	-200.0	-200.0	-200.0	-102.0	-200.0	-103.0	-95.0	-200.0	-97.0	-101.0	-104.0	-89.75	-88.25	-200.0	-81.4	-200.0	-80.6	-200.0	-200.0	-200.0	-200.0	-200.0	Pixel
2	SS	-200.0	-200.0	-200.0	-81.8	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-104.0	-200.0	-94.5	-200.0	-104.0	-93.0	-89.0	-200.0	-77.75	-200.0	-90.0	-200.0	-200.0	-200.0	-200.0	-200.0	Pixel
3	SS	-200.0	-200.0	-200.0	-84.8	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-93.5	-200.0	-90.0	-200.0	-200.0	-91.66666666666667	-93.0	-200.0	-83.6	-102.0	-79.8	-200.0	-200.0	-200.0	-200.0	-200.0	Pixel
4	SS	-200.0	-200.0	-200.0	-82.66666666666667	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-98.0	-200.0	-94.5	-96.0	-103.0	-88.33333333333333	-86.0	-200.0	-86.0	-200.0	-84.75	-200.0	-200.0	-200.0	-200.0	-200.0	Pixel
5	SS	-200.0	-200.0	-97.0	-95.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-92.0	-200.0	-102.0	-200.0	-200.0	-84.25	-82.5	-200.0	-84.6	-200.0	-81.25	-200.0	-200.0	-200.0	-200.0	-200.0	Pixel
6	SS	-200.0	-200.0	-200.0	-91.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-90.0	-200.0	-94.5	-200.0	-200.0	-85.0	-87.0	-200.0	-83.0	-103.0	-84.0	-200.0	-200.0	-200.0	-200.0	-200.0	Pixel
7	SS	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-86.33333333333333	-92.5	-200.0	-76.8	-200.0	-89.33333333333333	-200.0	-200.0	-200.0	-200.0	-200.0	Pixel
8	SS	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-88.0	-200.0	-200.0	-102.0	-200.0	-91.0	-91.0	-200.0	-78.5	-200.0	-89.0	-200.0	-200.0	-200.0	-200.0	-200.0	Pixel
9	SS	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-93.0	-200.0	-98.0	-200.0	-200.0	-91.5	-86.0	-200.0	-81.5	-200.0	-90.66666666666667	-200.0	-200.0	-200.0	-200.0	-200.0	Pixel
