time	label	source	6859b8e6126b	c69294c41e47	e7b2d23d89ec	e9bdcc7d8fe6	ef3b3dd2a002	ef3b3dd2a003	ef3b3dd2a005	ef3b3dd2a006	ef3b3dd2a008	ef3b3dd2a009	ef3b3dd2a011	ef3b3dd2a012	ef3b3dd2a013	ef3b3dd2a014	ef3b3dd2a015	ef3b3dd2a016	ef3b3dd2a018	ef3b3dd2a019	ef3b3dd2a020	ef3b3dd2e001	ef3b3dd2e003	ef3b3dd2e004	ef3b3dd2e006	ef3b3dd2e007	ef3b3dd2e008	ef3b3dd2e009	f80332eda645
30	AT_CH	Redmi	-98.0	-95.0	-84.5	-88.33333333333333	-85.0	-94.5	-82.5	-77.66666666666667	-84.0	-83.0	-78.0	-63.333333333333336	-82.5	-82.0	-76.0	-85.33333333333333	-86.0	-200.0	-80.0	-98.0	-75.0	-200.0	-97.0	-90.0	-200.0	-200.0	-92.25
46	TMA	Redmi	-97.0	-200.0	-91.66666666666667	-93.0	-90.33333333333333	-200.0	-94.0	-94.0	-92.0	-96.0	-93.5	-86.75	-96.33333333333333	-65.0	-84.0	-200.0	-81.0	-85.5	-95.0	-87.5	-96.0	-99.0	-200.0	-200.0	-97.66666666666667	-200.0	-200.0
114	DG	Redmi	-78.0	-200.0	-85.0	-74.0	-89.5	-200.0	-87.5	-89.5	-88.5	-95.33333333333333	-200.0	-76.0	-79.33333333333333	-89.33333333333333	-92.0	-87.0	-75.0	-76.33333333333333	-96.0	-91.33333333333333	-86.66666666666667	-200.0	-200.0	-200.0	-98.0	-103.0	-90.5
7	AT_CH	Redmi	-94.5	-92.0	-77.75	-86.0	-81.5	-200.0	-75.5	-82.0	-200.0	-86.0	-80.0	-69.5	-77.0	-65.25	-74.5	-85.0	-85.0	-87.0	-89.0	-100.0	-82.66666666666667	-100.0	-93.66666666666667	-85.5	-200.0	-200.0	-92.0
17	HA	Redmi	-200.0	-200.0	-200.0	-200.0	-67.0	-200.0	-200.0	-80.0	-200.0	-200.0	-200.0	-77.0	-200.0	-85.0	-200.0	-200.0	-92.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0
12	AT_I1	Redmi	-200.0	-90.5	-87.33333333333333	-89.0	-85.5	-97.0	-85.5	-88.0	-88.8	-90.66666666666667	-87.66666666666667	-80.66666666666667	-82.25	-75.0	-86.25	-91.0	-93.0	-86.0	-96.66666666666667	-94.5	-81.33333333333333	-94.0	-92.5	-95.8	-93.5	-97.0	-96.0
61	AT_O1	Redmi	-92.0	-96.0	-78.0	-85.0	-79.5	-94.0	-200.0	-76.0	-88.5	-75.66666666666667	-78.5	-70.33333333333333	-89.0	-84.0	-200.0	-100.0	-90.0	-90.5	-84.5	-100.0	-83.0	-200.0	-84.0	-97.5	-91.33333333333333	-88.66666666666667	-88.33333333333333
5	HA	Redmi	-200.0	-100.0	-92.5	-96.0	-85.0	-91.33333333333333	-86.75	-86.0	-91.5	-200.0	-97.0	-87.33333333333333	-96.66666666666667	-93.0	-200.0	-70.5	-200.0	-200.0	-90.0	-200.0	-89.0	-200.0	-67.0	-200.0	-200.0	-200.0	-200.0
105	DC	Redmi	-89.0	-95.5	-89.2	-81.66666666666667	-85.0	-200.0	-89.0	-89.0	-90.0	-94.0	-91.75	-74.33333333333333	-87.33333333333333	-83.0	-93.5	-95.0	-63.6	-73.0	-96.5	-86.5	-91.0	-94.66666666666667	-97.0	-93.6	-91.33333333333333	-200.0	-95.33333333333333
124	AH	Redmi	-82.0	-97.0	-200.0	-76.5	-200.0	-97.0	-98.0	-93.0	-96.0	-97.0	-89.0	-200.0	-91.5	-92.0	-200.0	-200.0	-96.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-82.5	-200.0	-200.0	-65.0
105	SS	Redmi	-200.0	-200.0	-91.33333333333333	-89.5	-200.0	-200.0	-96.0	-91.33333333333333	-98.0	-90.5	-91.33333333333333	-86.75	-94.66666666666667	-86.0	-85.75	-200.0	-82.5	-84.25	-200.0	-77.8	-101.0	-86.8	-200.0	-200.0	-200.0	-200.0	-98.0
88	SA	Redmi	-82.5	-92.0	-87.5	-89.0	-90.0	-90.33333333333333	-77.0	-96.0	-81.33333333333333	-88.0	-68.8	-89.75	-95.5	-90.66666666666667	-95.66666666666667	-85.33333333333333	-96.5	-98.0	-92.0	-200.0	-86.0	-200.0	-90.5	-76.6	-95.0	-95.0	-66.5
4	DF	Redmi	-200.0	-76.33333333333333	-92.0	-200.0	-96.0	-94.25	-97.0	-97.0	-83.5	-94.25	-92.5	-92.66666666666667	-99.0	-94.4	-99.0	-99.0	-100.0	-200.0	-77.25	-200.0	-200.0	-200.0	-200.0	-80.2	-87.0	-69.75	-91.66666666666667
23	GL	Redmi	-200.0	-200.0	-92.0	-200.0	-80.66666666666667	-86.75	-91.75	-200.0	-200.0	-97.0	-97.0	-92.0	-88.66666666666667	-91.5	-97.33333333333333	-74.0	-200.0	-97.0	-93.0	-200.0	-200.0	-200.0	-80.75	-200.0	-89.0	-90.66666666666667	-200.0
97	DF	Redmi	-200.0	-88.25	-93.5	-200.0	-91.0	-97.66666666666667	-100.5	-89.5	-88.0	-80.25	-95.0	-87.25	-91.5	-91.5	-94.0	-200.0	-94.0	-94.0	-86.0	-200.0	-200.0	-200.0	-97.0	-88.66666666666667	-82.33333333333333	-83.25	-200.0
6	AT_I1	Redmi	-200.0	-94.0	-79.33333333333333	-85.5	-73.0	-87.4	-74.0	-82.25	-81.66666666666667	-81.0	-85.0	-80.25	-83.33333333333333	-76.33333333333333	-75.0	-80.0	-87.0	-92.0	-89.0	-92.6	-80.75	-200.0	-86.66666666666667	-89.5	-200.0	-86.0	-92.0
24	SS	Redmi	-200.0	-200.0	-200.0	-82.25	-97.5	-200.0	-101.0	-98.0	-200.0	-94.0	-200.0	-200.0	-98.0	-92.0	-200.0	-200.0	-78.0	-80.2	-200.0	-81.0	-200.0	-84.75	-200.0	-200.0	-200.0	-200.0	-200.0
32	AT_I1	Redmi	-200.0	-94.5	-74.75	-89.25	-84.2	-200.0	-82.75	-87.5	-84.0	-85.33333333333333	-86.25	-73.0	-79.75	-73.25	-83.66666666666667	-87.66666666666667	-88.33333333333333	-86.0	-88.66666666666667	-93.0	-93.75	-200.0	-86.25	-200.0	-200.0	-92.0	-97.0
30	TS	Redmi	-70.0	-200.0	-200.0	-85.2	-98.0	-200.0	-92.33333333333333	-200.0	-94.0	-200.0	-92.0	-94.0	-91.33333333333333	-200.0	-200.0	-200.0	-88.0	-97.0	-200.0	-200.0	-89.0	-200.0	-200.0	-92.71428571428571	-200.0	-200.0	-82.75
11	SS	Redmi	-200.0	-200.0	-98.0	-93.2	-200.0	-200.0	-95.0	-97.0	-200.0	-101.0	-102.0	-96.5	-200.0	-92.0	-92.0	-200.0	-86.5	-75.33333333333333	-200.0	-74.2	-200.0	-89.2	-103.0	-200.0	-200.0	-200.0	-200.0
48	DG	Redmi	-82.0	-200.0	-98.0	-74.0	-89.0	-101.0	-89.66666666666667	-93.66666666666667	-93.75	-96.5	-96.0	-82.33333333333333	-77.0	-95.33333333333333	-88.5	-90.0	-75.33333333333333	-72.5	-100.0	-92.66666666666667	-88.2	-200.0	-97.0	-96.0	-200.0	-200.0	-94.5
16	AT_CH	Redmi	-94.0	-90.5	-88.0	-83.66666666666667	-86.5	-90.0	-78.66666666666667	-73.75	-85.33333333333333	-79.0	-78.5	-67.0	-78.0	-82.0	-79.33333333333333	-81.5	-87.0	-89.0	-89.5	-200.0	-76.66666666666667	-200.0	-93.0	-88.8	-92.0	-200.0	-91.0
