time	label	6859b8e6126b	c69294c41e47	e7b2d23d89ec	e9bdcc7d8fe6	ef3b3dd2a002	ef3b3dd2a003	ef3b3dd2a005	ef3b3dd2a006	ef3b3dd2a008	ef3b3dd2a009	ef3b3dd2a011	ef3b3dd2a012	ef3b3dd2a013	ef3b3dd2a014	ef3b3dd2a015	ef3b3dd2a016	ef3b3dd2a018	ef3b3dd2a019	ef3b3dd2a020	ef3b3dd2e001	ef3b3dd2e003	ef3b3dd2e004	ef3b3dd2e006	ef3b3dd2e007	ef3b3dd2e008	ef3b3dd2e009	f80332eda645	source
0	SS	-200.0	-200.0	-96.0	-80.66666666666667	-200.0	-200.0	-200.0	-200.0	-200.0	-98.5	-96.0	-200.0	-98.0	-85.0	-200.0	-200.0	-79.0	-83.33333333333333	-200.0	-82.66666666666667	-96.33333333333333	-94.66666666666667	-200.0	-200.0	-200.0	-200.0	-200.0	Xiaomi
1	SS	-200.0	-200.0	-98.25	-79.66666666666667	-200.0	-200.0	-200.0	-200.0	-200.0	-97.5	-96.5	-101.66666666666667	-98.33333333333333	-84.5	-98.0	-200.0	-80.0	-87.0	-200.0	-83.33333333333333	-96.0	-92.5	-200.0	-200.0	-200.0	-200.0	-200.0	Xiaomi
2	SS	-200.0	-200.0	-200.0	-80.33333333333333	-99.25	-200.0	-200.0	-96.33333333333333	-200.0	-99.5	-95.5	-94.5	-97.5	-87.0	-89.33333333333333	-200.0	-82.0	-85.0	-200.0	-80.6	-98.33333333333333	-84.33333333333333	-200.0	-200.0	-200.0	-200.0	-200.0	Xiaomi
3	SS	-200.0	-101.0	-97.5	-76.6	-95.66666666666667	-200.0	-200.0	-95.0	-200.0	-102.0	-99.0	-96.66666666666667	-100.0	-93.5	-93.5	-200.0	-74.0	-82.4	-200.0	-76.2	-97.0	-84.4	-200.0	-200.0	-200.0	-100.0	-200.0	Xiaomi
4	SS	-200.0	-200.0	-90.5	-74.66666666666667	-95.33333333333333	-200.0	-200.0	-102.0	-200.0	-200.0	-200.0	-92.66666666666667	-99.0	-87.5	-91.5	-200.0	-71.6	-77.0	-200.0	-74.75	-96.0	-80.2	-200.0	-200.0	-200.0	-200.0	-200.0	Xiaomi
5	SS	-200.0	-200.0	-95.66666666666667	-76.0	-96.0	-200.0	-200.0	-95.66666666666667	-200.0	-94.0	-97.0	-92.33333333333333	-98.0	-90.33333333333333	-92.66666666666667	-200.0	-76.75	-72.25	-200.0	-77.25	-100.0	-75.66666666666667	-200.0	-200.0	-200.0	-200.0	-200.0	Xiaomi
6	SS	-200.0	-101.0	-94.33333333333333	-85.66666666666667	-97.0	-200.0	-200.0	-94.0	-200.0	-99.0	-94.0	-92.75	-200.0	-86.5	-89.0	-200.0	-73.0	-75.0	-200.0	-76.25	-93.66666666666667	-74.33333333333333	-200.0	-200.0	-200.0	-200.0	-200.0	Xiaomi
7	SS	-200.0	-200.0	-97.0	-87.0	-200.0	-200.0	-97.5	-94.5	-200.0	-97.0	-100.0	-93.4	-99.0	-88.0	-93.25	-200.0	-73.33333333333333	-76.75	-200.0	-79.0	-92.25	-79.66666666666667	-200.0	-200.0	-200.0	-200.0	-200.0	Xiaomi
8	SS	-200.0	-200.0	-98.5	-86.0	-200.0	-200.0	-97.0	-98.0	-200.0	-97.0	-99.0	-200.0	-96.33333333333333	-93.33333333333333	-91.0	-200.0	-76.0	-80.25	-200.0	-85.66666666666667	-96.75	-80.5	-200.0	-200.0	-200.0	-200.0	-200.0	Xiaomi
9	SS	-200.0	-200.0	-200.0	-89.8	-200.0	-200.0	-200.0	-97.0	-200.0	-200.0	-200.0	-98.5	-200.0	-92.5	-97.0	-200.0	-76.75	-83.0	-200.0	-79.5	-200.0	-85.8	-200.0	-200.0	-200.0	-200.0	-200.0	Xiaomi
