time	label	source	6859b8e6126b	c69294c41e47	e7b2d23d89ec	e9bdcc7d8fe6	ef3b3dd2a002	ef3b3dd2a003	ef3b3dd2a005	ef3b3dd2a006	ef3b3dd2a008	ef3b3dd2a009	ef3b3dd2a011	ef3b3dd2a012	ef3b3dd2a013	ef3b3dd2a014	ef3b3dd2a015	ef3b3dd2a016	ef3b3dd2a018	ef3b3dd2a019	ef3b3dd2a020	ef3b3dd2e001	ef3b3dd2e003	ef3b3dd2e004	ef3b3dd2e006	ef3b3dd2e007	ef3b3dd2e008	ef3b3dd2e009	f80332eda645
116	DG	Pixel	-89.5	-200.0	-98.0	-84.0	-94.5	-200.0	-101.0	-101.0	-102.0	-200.0	-200.0	-87.0	-80.5	-101.0	-200.0	-106.0	-79.66666666666667	-82.0	-200.0	-95.0	-92.0	-200.0	-200.0	-200.0	-200.0	-200.0	-98.0
65	GL	Pixel	-200.0	-200.0	-100.66666666666667	-200.0	-88.66666666666667	-87.0	-98.25	-99.5	-200.0	-99.5	-200.0	-99.0	-200.0	-100.33333333333333	-200.0	-80.5	-200.0	-104.0	-94.0	-200.0	-102.66666666666667	-200.0	-89.33333333333333	-200.0	-98.5	-200.0	-200.0
6	TS	Pixel	-85.5	-200.0	-200.0	-87.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-96.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0	-200.0
73	AT_O2	Redmi	-200.0	-200.0	-82.2	-94.5	-66.5	-86.0	-71.0	-92.66666666666667	-90.75	-87.0	-90.0	-81.0	-89.5	-83.25	-91.5	-81.0	-97.0	-96.25	-90.5	-200.0	-92.0	-200.0	-81.5	-200.0	-200.0	-95.0	-94.0
26	AT_S	Redmi	-98.0	-94.25	-91.33333333333333	-85.66666666666667	-84.0	-95.0	-86.2	-85.8	-78.66666666666667	-86.0	-87.0	-80.0	-69.33333333333333	-83.75	-81.66666666666667	-93.0	-79.5	-83.5	-93.0	-200.0	-75.0	-200.0	-200.0	-91.25	-200.0	-200.0	-86.66666666666667
55	SS	Redmi	-200.0	-200.0	-95.0	-91.66666666666667	-94.5	-200.0	-96.0	-96.5	-200.0	-94.0	-98.0	-91.5	-98.0	-86.66666666666667	-89.33333333333333	-200.0	-85.0	-79.0	-200.0	-80.8	-99.0	-80.0	-200.0	-200.0	-200.0	-200.0	-200.0
94	AT_CH	Redmi	-200.0	-91.5	-85.5	-85.75	-84.5	-96.0	-90.33333333333333	-89.5	-89.5	-86.66666666666667	-83.75	-60.5	-81.33333333333333	-71.25	-200.0	-89.5	-84.5	-78.0	-96.0	-200.0	-72.66666666666667	-96.0	-92.66666666666667	-87.4	-200.0	-94.0	-90.0
124	SA	Redmi	-88.0	-86.66666666666667	-86.5	-95.5	-90.0	-97.0	-88.0	-97.0	-83.66666666666667	-88.5	-79.0	-92.33333333333333	-200.0	-85.33333333333333	-97.0	-200.0	-200.0	-200.0	-95.5	-200.0	-88.0	-200.0	-200.0	-67.33333333333333	-96.33333333333333	-91.0	-78.0
34	AT_I1	Pixel	-200.0	-101.0	-92.2	-99.33333333333333	-92.0	-106.0	-88.5	-96.33333333333333	-99.0	-99.8	-98.0	-84.5	-88.0	-84.0	-79.66666666666667	-97.33333333333333	-95.33333333333333	-90.33333333333333	-97.0	-200.0	-100.0	-200.0	-98.5	-99.5	-200.0	-99.33333333333333	-200.0
35	SS	Redmi	-200.0	-200.0	-200.0	-98.0	-99.0	-200.0	-200.0	-98.0	-98.0	-100.0	-97.0	-200.0	-100.0	-95.0	-94.5	-200.0	-84.5	-82.0	-200.0	-77.0	-200.0	-91.75	-200.0	-200.0	-200.0	-200.0	-200.0
118	HA	Redmi	-200.0	-98.5	-88.5	-200.0	-78.33333333333333	-87.0	-86.0	-82.5	-94.5	-77.75	-87.66666666666667	-83.6	-94.66666666666667	-88.5	-100.0	-71.2	-200.0	-200.0	-97.0	-200.0	-93.5	-200.0	-63.5	-200.0	-200.0	-200.0	-96.5
5	SN	Redmi	-200.0	-91.33333333333333	-87.33333333333333	-98.5	-83.75	-85.66666666666667	-88.0	-85.0	-81.5	-87.0	-89.0	-79.75	-94.5	-92.0	-95.5	-94.0	-200.0	-98.0	-71.66666666666667	-200.0	-95.66666666666667	-200.0	-98.0	-90.33333333333333	-76.0	-78.6	-94.0
2	AT_S	Redmi	-200.0	-93.5	-88.6	-92.66666666666667	-83.33333333333333	-87.0	-84.5	-92.25	-84.6	-82.0	-82.0	-80.33333333333333	-77.0	-85.0	-93.0	-92.0	-94.0	-200.0	-90.33333333333333	-98.0	-74.33333333333333	-200.0	-200.0	-85.0	-85.8	-200.0	-87.5
57	AT_S	Pixel	-200.0	-94.0	-91.0	-95.5	-86.66666666666667	-99.0	-90.66666666666667	-91.0	-89.0	-92.0	-85.0	-85.33333333333333	-88.75	-97.0	-83.0	-99.0	-93.5	-87.0	-95.0	-200.0	-87.8	-200.0	-98.0	-200.0	-92.0	-200.0	-96.5
114	SN	Pixel	-200.0	-91.0	-92.0	-200.0	-85.0	-88.66666666666667	-97.0	-88.0	-85.33333333333333	-89.0	-100.0	-91.25	-200.0	-93.0	-200.0	-91.0	-200.0	-200.0	-69.66666666666667	-200.0	-101.5	-200.0	-200.0	-101.0	-77.0	-87.33333333333333	-200.0
73	DG	Redmi	-98.0	-200.0	-96.0	-78.5	-90.33333333333333	-200.0	-88.0	-86.0	-90.33333333333333	-95.5	-98.0	-84.6	-88.0	-89.0	-200.0	-90.4	-76.66666666666667	-75.75	-97.0	-93.0	-84.0	-200.0	-200.0	-200.0	-95.0	-200.0	-200.0
82	AH	Redmi	-200.0	-200.0	-96.5	-92.0	-96.33333333333333	-200.0	-91.0	-94.33333333333333	-93.66666666666667	-93.0	-81.0	-95.0	-91.5	-97.33333333333333	-85.25	-100.0	-96.5	-93.5	-93.66666666666667	-200.0	-74.0	-200.0	-200.0	-89.0	-200.0	-200.0	-75.5
105	AT_I1	Redmi	-200.0	-97.5	-75.66666666666667	-93.5	-78.75	-96.5	-80.5	-85.66666666666667	-90.66666666666667	-89.0	-82.5	-76.75	-80.5	-79.66666666666667	-76.0	-76.5	-92.0	-94.0	-85.0	-88.66666666666667	-83.0	-200.0	-200.0	-200.0	-92.0	-200.0	-96.0
14	ES	Redmi	-200.0	-100.0	-92.33333333333333	-200.0	-82.66666666666667	-71.0	-88.5	-89.0	-95.0	-98.0	-94.5	-93.25	-98.5	-95.0	-95.0	-84.25	-96.75	-200.0	-85.0	-200.0	-98.0	-200.0	-94.0	-200.0	-76.8	-88.0	-102.0
30	AT_O2	Pixel	-200.0	-200.0	-82.8	-99.66666666666667	-73.6	-104.0	-79.0	-85.25	-102.0	-85.0	-90.66666666666667	-93.33333333333333	-92.5	-93.0	-92.5	-98.5	-101.33333333333333	-98.0	-98.0	-200.0	-96.5	-200.0	-91.66666666666667	-91.0	-96.33333333333333	-200.0	-91.33333333333333
32	AT_O2	Pixel	-200.0	-200.0	-90.33333333333333	-96.33333333333333	-69.0	-98.66666666666667	-79.66666666666667	-83.33333333333333	-99.0	-84.33333333333333	-93.25	-97.5	-89.5	-86.0	-92.0	-82.0	-200.0	-93.5	-98.0	-200.0	-96.0	-200.0	-88.75	-200.0	-94.33333333333333	-200.0	-95.33333333333333
45	AT_O1	Pixel	-200.0	-100.5	-86.5	-100.0	-70.5	-200.0	-83.66666666666667	-82.5	-200.0	-83.5	-89.0	-93.6	-93.0	-94.5	-95.33333333333333	-96.0	-200.0	-101.5	-93.0	-200.0	-94.25	-200.0	-200.0	-92.66666666666667	-82.66666666666667	-89.33333333333333	-96.0
86	AT_CA	Pixel	-101.0	-91.66666666666667	-94.0	-200.0	-90.33333333333333	-101.5	-94.5	-88.5	-79.25	-80.6	-94.25	-94.33333333333333	-200.0	-93.66666666666667	-96.0	-96.66666666666667	-200.0	-101.0	-84.0	-200.0	-96.0	-200.0	-93.33333333333333	-81.6	-87.0	-98.75	-100.0
21	DF	Pixel	-104.0	-90.66666666666667	-106.0	-200.0	-99.0	-91.5	-200.0	-99.5	-95.66666666666667	-89.0	-101.66666666666667	-91.0	-101.0	-200.0	-200.0	-200.0	-200.0	-200.0	-85.0	-200.0	-200.0	-200.0	-200.0	-91.0	-85.66666666666667	-79.5	-98.25
85	AT_S	Pixel	-95.0	-200.0	-91.0	-96.5	-90.5	-97.33333333333333	-90.0	-84.75	-97.25	-93.0	-84.6	-87.5	-80.0	-88.0	-84.75	-200.0	-95.0	-95.0	-98.0	-200.0	-87.2	-200.0	-200.0	-200.0	-96.33333333333333	-200.0	-97.0
68	AT_CH	Redmi	-93.0	-95.66666666666667	-85.25	-85.25	-88.66666666666667	-200.0	-89.8	-83.33333333333333	-82.5	-84.0	-82.5	-59.333333333333336	-82.75	-67.0	-84.0	-92.33333333333333	-84.0	-76.0	-92.0	-95.0	-74.0	-200.0	-200.0	-86.0	-91.0	-200.0	-92.0
