label	set	time	source	image	video
SS	test	0	Pixel	video_data/walk/Pixel/SS/0000_00000.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
SS	test	1	Pixel	video_data/walk/Pixel/SS/0001_00031.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
SS	test	2	Pixel	video_data/walk/Pixel/SS/0002_00061.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
SS	test	3	Pixel	video_data/walk/Pixel/SS/0003_00091.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
SS	test	4	Pixel	video_data/walk/Pixel/SS/0004_00121.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
SS	test	5	Pixel	video_data/walk/Pixel/SS/0005_00151.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
SS	test	6	Pixel	video_data/walk/Pixel/SS/0006_00181.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
SS	test	7	Pixel	video_data/walk/Pixel/SS/0007_00211.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
SS	test	8	Pixel	video_data/walk/Pixel/SS/0008_00241.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
SS	test	9	Pixel	video_data/walk/Pixel/SS/0009_00271.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
SS	test	10	Pixel	video_data/walk/Pixel/SS/0010_00301.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
SS	test	11	Pixel	video_data/walk/Pixel/SS/0011_00331.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
SS	test	12	Pixel	video_data/walk/Pixel/SS/0012_00361.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
SS	test	13	Pixel	video_data/walk/Pixel/SS/0013_00391.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
SS	test	14	Pixel	video_data/walk/Pixel/SS/0014_00421.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
SS	test	15	Pixel	video_data/walk/Pixel/SS/0015_00451.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
SS	test	16	Pixel	video_data/walk/Pixel/SS/0016_00481.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
SS	test	17	Pixel	video_data/walk/Pixel/SS/0017_00511.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
SS	test	18	Pixel	video_data/walk/Pixel/SS/0018_00541.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
SS	test	19	Pixel	video_data/walk/Pixel/SS/0019_00571.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
TMA	test	20	Pixel	video_data/walk/Pixel/TMA/0020_00601.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
TMA	test	21	Pixel	video_data/walk/Pixel/TMA/0021_00631.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4
