label	set	time	source	image	video
SS	test	0	Xiaomi	video_data/walk/Xiaomi/SS/0000_00000.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp
SS	test	1	Xiaomi	video_data/walk/Xiaomi/SS/0001_00030.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp
SS	test	2	Xiaomi	video_data/walk/Xiaomi/SS/0002_00060.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp
SS	test	3	Xiaomi	video_data/walk/Xiaomi/SS/0003_00090.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp
SS	test	4	Xiaomi	video_data/walk/Xiaomi/SS/0004_00120.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp
SS	test	5	Xiaomi	video_data/walk/Xiaomi/SS/0005_00150.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp
SS	test	6	Xiaomi	video_data/walk/Xiaomi/SS/0006_00180.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp
SS	test	7	Xiaomi	video_data/walk/Xiaomi/SS/0007_00210.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp
SS	test	8	Xiaomi	video_data/walk/Xiaomi/SS/0008_00240.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp
SS	test	9	Xiaomi	video_data/walk/Xiaomi/SS/0009_00270.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp
SS	test	10	Xiaomi	video_data/walk/Xiaomi/SS/0010_00300.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp
SS	test	11	Xiaomi	video_data/walk/Xiaomi/SS/0011_00330.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp
SS	test	12	Xiaomi	video_data/walk/Xiaomi/SS/0012_00360.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp
