label	set	time	source	image	video
AT_CH	train	0	Pixel	video_data/AT_CH/train_Pixel_0000_0000.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4
AT_CH	train	1	Pixel	video_data/AT_CH/train_Pixel_0001_0031.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4
AT_CH	train	3	Pixel	video_data/AT_CH/train_Pixel_0003_0091.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4
AT_CH	train	4	Pixel	video_data/AT_CH/train_Pixel_0004_0121.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4
AT_CH	train	5	Pixel	video_data/AT_CH/train_Pixel_0005_0151.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4
AT_CH	train	7	Pixel	video_data/AT_CH/train_Pixel_0007_0211.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4
AT_CH	train	9	Pixel	video_data/AT_CH/train_Pixel_0009_0271.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4
AT_CH	train	11	Pixel	video_data/AT_CH/train_Pixel_0011_0331.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4
AT_CH	train	12	Pixel	video_data/AT_CH/train_Pixel_0012_0361.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4
AT_CH	train	14	Pixel	video_data/AT_CH/train_Pixel_0014_0421.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4
AT_CH	train	15	Pixel	video_data/AT_CH/train_Pixel_0015_0451.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4
AT_CH	train	18	Pixel	video_data/AT_CH/train_Pixel_0018_0541.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4
