label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	111	Xiaomi	SA	0.047681981151410605	0.04762515940946031	0.047590369053921694	0.04760679277644468	0.04767650626823693	0.047629408707827836	0.04760799765086779	0.04761299826002792	0.04767541465009257	0.04759845249136814	0.04757150727663607	0.04767542183102205	0.0476349763521976	0.04761918512326441	0.04757363472737467	0.04759763893271442	0.04770171093881834	0.04760715858389067	0.04750012748776665	0.047587756793670256	0.047625801532986275
AH	112	Xiaomi	SA	0.047681984463455084	0.04762509124072772	0.04757038265363209	0.04762596411514061	0.04766551851245101	0.04762894160275408	0.04759522168713941	0.04761160234592238	0.047675522900986506	0.04759966287721549	0.04759036481663264	0.04763999564628992	0.04764455955257325	0.04762406060387978	0.0476114456373443	0.047592501864578036	0.047687444638909955	0.04761479731842044	0.04750013078717937	0.0475828683615024	0.047631938373265605
AH	113	Xiaomi	SA	0.047688199089903384	0.04759815288784603	0.04760398657938408	0.04762596106314794	0.04765564076583938	0.047615737476182626	0.04759056531595738	0.04760936908119875	0.047686832089466634	0.047606481221181676	0.047584286206879656	0.047632730457680975	0.047647732150296114	0.04761795319949728	0.04757874251285343	0.04759249881472972	0.04770139339295991	0.04760183535067657	0.04750012774325042	0.047589449751055696	0.047672324850012174
AH	114	Xiaomi	SA	0.0476819807825832	0.04761815268943668	0.047578158287948924	0.04762596043859329	0.047658317136182786	0.04761607714621588	0.047602584783445256	0.04761488246965353	0.04769367270209051	0.04761868320259672	0.04757263838108046	0.04765197265004023	0.04763235950652615	0.04763747708983476	0.047604014297783395	0.04759167600452166	0.0477018221530475	0.04762032414669213	0.04750012712034591	0.04755300146069807	0.047626117550682905
AH	115	Xiaomi	SA	0.047681979095455976	0.04763144193770877	0.04757815660449524	0.0476333489486096	0.04767656906744285	0.047622913407849146	0.04762140391246585	0.0476223046187395	0.047688106257878636	0.04763009636537711	0.047572636697822086	0.047651210007798886	0.04761914936096551	0.047643917043468036	0.04756614385360915	0.04759167432058968	0.04769327998770598	0.0476203224617465	0.0475001254396532	0.04754657315919586	0.047608647451422605
AH	116	Xiaomi	SA	0.04768819110821194	0.047631167574911724	0.04759766233768706	0.04762164585176987	0.047686862004767225	0.04762349634495948	0.04760312211293873	0.04760720988055202	0.04770721842067946	0.04761816954027611	0.047566836483968075	0.04765023499398861	0.047605996656281284	0.04763746974133836	0.04756448489107643	0.04758563725259548	0.0477235852625533	0.04761410041909247	0.04750011979303694	0.04753974924181105	0.04762704008750447
AH	117	Xiaomi	SA	0.0476881981869505	0.047618780504756035	0.04761786972833794	0.047640519041432676	0.047650289778686565	0.047615692517313006	0.04760312917904982	0.04761488219249823	0.047687714788727534	0.047623136565487334	0.04757263810417105	0.04763937041659026	0.04760888422317051	0.047637476812547944	0.047571251985265274	0.047584372409356215	0.047698370168378884	0.0476198746037105	0.04750012684385858	0.04755300118390296	0.047654420765808524
AH	118	Xiaomi	AT_S	0.04768819992878841	0.04761283813433763	0.047642730199399186	0.047650069133875116	0.04765000044405269	0.047660777441848164	0.047603866191962156	0.04761066749005237	0.04769434075212044	0.04761847846938863	0.047590884923443974	0.04760022104829992	0.04763992237652358	0.04761220772006033	0.04757125372283166	0.04756500426696586	0.047642424581293134	0.04760701573890812	0.04750012857882707	0.04757695436191161	0.04766201449510987
AH	119	Xiaomi	SA	0.04768198224614315	0.04761962647471499	0.04761735882211358	0.04762680963922511	0.04765240152580499	0.04766159408244511	0.04760123880430915	0.04761205663079908	0.04765981371468861	0.04761443280167465	0.0475655242380493	0.04765357249563969	0.04764036891383937	0.04763857975695601	0.04760458326716357	0.047564182555342276	0.047686504442609426	0.04761981435773628	0.047500128578324016	0.047552484313629635	0.04762694233879178
AH	123	Xiaomi	SA	0.04768197550270054	0.04763738070440805	0.047583237722739306	0.04761425954484607	0.04768193179230092	0.04763033743030146	0.04762140032427466	0.047614634590936164	0.04769347860176405	0.047631400348009334	0.047559445122743974	0.04765823805142931	0.04762090872006139	0.04765043025167529	0.0475742633056311	0.04758563932388103	0.047708609778038966	0.04762031887363679	0.04750012186060013	0.04753975131109922	0.047592236838922414
AH	124	Xiaomi	AT_S	0.04768197937334838	0.04763738457143585	0.04763624346326479	0.04764051791072778	0.0476759691698463	0.04763632099265857	0.047621404190005226	0.047626458142197334	0.04770118019293629	0.04763009664296714	0.04757263697507724	0.047614084981796256	0.0475867879346473	0.047637475681915245	0.04756048482563461	0.0475843712799839	0.047679012912640234	0.04762039283553648	0.04750012571648576	0.04755300005527522	0.047604072151620325
AH	125	Xiaomi	SA	0.04768197742169241	0.04763144026571919	0.04761703461233228	0.047628816764971514	0.047685833831295654	0.047628890499324436	0.047621402240828635	0.047614636507217846	0.047688104583899986	0.04762444086637506	0.04755944703680452	0.04763748847865166	0.04760827608809638	0.04765043216939759	0.04757353665670566	0.047578408434543126	0.0477080399215151	0.04761257564909803	0.047500123772273174	0.047546571490185395	0.04760252270907211
AT_CA	469	Xiaomi	AT_CA	0.047648619084696246	0.047723346578069856	0.04759027671567986	0.04762726090747376	0.04765646969589815	0.047579916352633526	0.04772220157752083	0.04768576936812481	0.04766679129463106	0.04765041806333893	0.04757396918753937	0.0476576800492079	0.047540304689786886	0.0476394721525038	0.047560595844426665	0.04761167712917333	0.047631900806149756	0.04766833813256484	0.04750010873497716	0.047512512621202006	0.047552371014401136
AT_CA	470	Xiaomi	AT_CA	0.047506452752574604	0.047710683476274336	0.04759820170247738	0.0476407311551869	0.04764960268015214	0.047606067491461256	0.04768777316091754	0.047678758488167675	0.0476549796915122	0.04768509203487511	0.047599757259007607	0.04770301658434912	0.04756576100478679	0.047632815717239915	0.04761962227543492	0.04763697669266868	0.047579100729201636	0.04766363467787532	0.04750010981851329	0.047537833453618214	0.047543029153705334
AT_CA	471	Xiaomi	AT_CA	0.04752029906369255	0.0477228844087343	0.04764131884766597	0.04764693716133345	0.0476694136859777	0.04763298473862795	0.04770118910292777	0.047692003235947494	0.04766785101207945	0.04766958198414399	0.04757511748778461	0.047645574251741214	0.047548745273564376	0.04764845270670809	0.0475726192582791	0.047611279834758435	0.04761214315576086	0.04767080153333127	0.0475001052973231	0.04751250918265025	0.047538188776967964
AT_CA	472	Xiaomi	AT_CA	0.047513124673233945	0.047722836167749805	0.04761612213793229	0.04767220312172804	0.047662647053895016	0.04760606610620409	0.0477019948538952	0.047693474133496956	0.04766752365226226	0.04765862420303221	0.04760745370234666	0.047659937067119476	0.047547176260333245	0.04761332218610639	0.047583893793018826	0.047648714887402924	0.047583841210356595	0.047651931270715514	0.04750010843633932	0.04752522325589786	0.04756378182693329
AT_CA	473	Xiaomi	AT_CA	0.04752030069622777	0.04772283465350792	0.04762175296669448	0.04765783424227201	0.04768257169359845	0.04762058715040542	0.04771534922388959	0.04769805956164047	0.04766804136737938	0.047656604164182215	0.04758671726778821	0.04763888876700921	0.04754798134887769	0.04762939062546967	0.04757857769501252	0.047636558629210526	0.04757740807368338	0.04765832260364395	0.04750010692916456	0.04753164548090747	0.047550466859435085
AT_CA	474	Xiaomi	AT_O1	0.04752660964776227	0.04771738124623008	0.04759016583812955	0.04762149536038997	0.04767723197147615	0.04760723861323921	0.04772190671844764	0.04768580690165352	0.04766180021135778	0.04765781294348642	0.04758091614579834	0.047673448391063515	0.047538014034999625	0.04765316533367037	0.04758495592107272	0.04763912019137463	0.047645225289000864	0.04767932254834264	0.0475001020897911	0.04750668312497242	0.04753159747774133
AT_CA	475	Xiaomi	AT_CA	0.04760230098591423	0.047722542515120994	0.04760319170207164	0.047642138534737	0.04770397283941879	0.047642074331052636	0.04771534378212046	0.047659464401336296	0.04768154704202421	0.04764385858888403	0.04752997569371037	0.047668798783500776	0.047556930313299745	0.04761039447860008	0.047539656115955356	0.04758262261695012	0.04766148531492553	0.04768284323268627	0.04750010151194305	0.047519160316238505	0.04753159689951013
