label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	8	Pixel	AH	0.9999785458318552	7.329570595719536e-09	8.545316411020037e-09	2.5584852300058443e-08	3.636396744310263e-08	3.065398527934307e-08	3.806758885289527e-09	2.1642986003126216e-08	5.813821664982452e-07	3.1307142813020715e-09	3.7800119037842705e-09	2.9292840395762493e-09	1.9452823771215467e-08	1.906352633799418e-08	3.6995058672227577e-10	1.4368455431545163e-08	2.0343409766916184e-05	3.242862796145724e-09	6.080733271776749e-11	1.8524775515935825e-09	3.271978603889862e-07
AH	12	Pixel	AH	0.9999883699505632	6.791300851401805e-09	7.917764602956401e-09	2.8938290685573552e-08	5.519759745127211e-08	1.4708450625158376e-08	3.5271977425043297e-09	2.9550862188980952e-08	9.908700248601268e-07	1.6457648865671198e-09	4.233836579486355e-09	7.034736748950965e-09	8.986956041472998e-09	5.199052824316497e-08	6.379402519399241e-10	1.0535387335596177e-07	1.029164284740882e-05	3.0413098344753168e-09	1.6152957367504764e-10	1.716435118407532e-09	1.6102190019885192e-08
AH	17	Pixel	AH	0.999902092393108	1.8987487656040054e-08	1.4264437251553204e-08	5.659014503182827e-08	1.9147154501412777e-07	3.894072199749943e-08	1.2991507020877373e-08	3.263726178546533e-08	1.6202882588600596e-06	5.244465736608864e-09	8.36086209716757e-09	8.67818224340642e-09	6.409390548165305e-08	3.257778524069847e-07	1.6493215739278944e-09	3.857011785718071e-07	7.889380810796355e-05	8.853618610415053e-09	3.8559864745462037e-10	4.097423431779886e-09	1.6214785010403613e-05
AH	19	Pixel	AH	0.9998291342680092	1.175018293879187e-08	2.4082183262727692e-08	1.5702181076734466e-07	2.690397615587443e-07	1.2288727091211132e-07	3.604779517471633e-08	1.0818301649110015e-07	1.0665756584698985e-05	1.4551924297180318e-08	2.4775867828929855e-08	2.484835830723019e-08	4.385499227654891e-07	1.1958092436485107e-06	3.4148624053991297e-09	3.098337457832579e-07	4.273564768468753e-06	1.845740090876659e-08	1.0699283032179804e-09	3.821971919307352e-09	0.00015316226539054706
AH	23	Pixel	AH	0.8218421951789125	2.4389537792343772e-05	1.790885042156297e-05	8.873447729821298e-05	9.584588222865192e-05	1.894841413504517e-05	1.6687665962189252e-05	7.179564142696748e-05	0.0011809308063885037	6.970067380430239e-06	1.124761361808213e-05	0.0001496175727232919	1.6432621983687503e-05	8.20236996394895e-05	1.8814758778788208e-06	0.00044086496121958777	0.17559468135217726	1.231385421532802e-05	1.7276267187949566e-07	5.2631641137020374e-06	0.00032109439981347607
AH	26	Pixel	AH	0.9899945472951707	4.707018079398063e-06	2.016479428366084e-06	1.549678336306594e-05	1.3432002143202848e-05	4.224311836161858e-06	2.9143705144298374e-06	1.942685416679099e-05	7.717868826955353e-05	1.7082517422342405e-06	2.5674748734117514e-06	1.2398886654896484e-06	4.156796041159051e-06	5.9860371203075005e-05	6.392024116804125e-07	1.8066343240898283e-07	0.009300314338432395	5.070344867644797e-06	8.65009214666058e-08	6.733759343541161e-07	0.0004895589885029537
AH	29	Pixel	TS	0.049938649625489814	2.5369763243496032e-06	2.600954388869259e-06	1.4117180817269827e-05	1.3036380002251225e-05	7.431163912762516e-06	1.7206990160625878e-06	2.1244478008074056e-05	5.724018152800008e-05	1.4244272336606942e-06	2.06542387706323e-06	2.108970137049794e-06	4.012618341206747e-06	4.273102796228917e-05	3.045875883777686e-07	1.625196716510718e-07	7.679733998648504e-05	3.990412371783582e-06	7.880016907992297e-08	8.712734631837676e-07	0.9498068749597106
AH	31	Pixel	AH	0.98387677056994	7.405783031958854e-05	8.634170099461214e-05	0.00022754115838829325	0.0006019191897899055	0.00030972723583050425	3.8463413362714406e-05	0.0001743443048969428	0.009931986045274586	7.19235670193826e-05	4.6169174045609764e-05	3.401049237274083e-05	5.843934756403565e-05	0.0015346637653304777	1.4247643759804395e-05	0.0003132036149986509	0.0015671647889925438	4.379177023951338e-05	6.143960372288506e-07	1.8717395022688436e-05	0.0009759025958202939
AH	33	Pixel	AH	0.9998603035629201	2.73517840714392e-08	5.229565491464693e-08	9.547508226737604e-08	3.136236993492638e-07	1.4556809006264265e-07	1.420569536546634e-08	2.0361980911804554e-07	2.1649372504394255e-06	1.2755184736522534e-08	1.4105883561604129e-08	1.252019608768862e-08	8.612381092769971e-07	5.496304567156014e-07	2.6751939148798403e-09	1.7857152230977688e-09	3.955361711923381e-06	3.81330463975907e-08	6.505560741576578e-10	4.945396104294485e-09	0.0001312255585644244
AH	43	Pixel	AH	0.9999984485609552	2.721130751434227e-09	5.2027068648597475e-09	9.498472994482052e-09	1.4078777910118677e-08	1.448204640920018e-08	1.4132736059744453e-09	1.561122570492537e-08	3.3704483818208056e-07	1.1142206703763258e-09	2.4446086653752634e-09	1.7819988617127541e-09	2.147255800825003e-09	6.993574562203103e-09	3.334799848948952e-10	4.881087835422973e-10	4.842798388308782e-07	2.1657576268450907e-09	6.748570638569333e-12	5.242486696294094e-10	6.49106731432987e-07
