label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	111	Xiaomi	AT_CH	0.1	0.0	0.3	0.0	0.15	0.15	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AH	112	Xiaomi	AT_S	0.15	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.1
AH	113	Xiaomi	AT_S	0.2	0.0	0.05	0.0	0.2	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0
AH	114	Xiaomi	AT_S	0.25	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AH	115	Xiaomi	AT_S	0.25	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
AH	116	Xiaomi	AT_S	0.25	0.0	0.05	0.0	0.2	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
AH	117	Xiaomi	AT_S	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15
AH	118	Xiaomi	AT_S	0.15	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.25
AH	119	Xiaomi	TS	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.1	0.0	0.05	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.4
AH	123	Xiaomi	SA	0.2	0.0	0.15	0.0	0.05	0.0	0.0	0.0	0.25	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0
AH	124	Xiaomi	AT_S	0.2	0.0	0.05	0.0	0.2	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AH	125	Xiaomi	AT_S	0.1	0.0	0.05	0.05	0.2	0.0	0.0	0.0	0.3	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0
