label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	92	Pixel	AH	0.9881996478210927	8.69295348281346e-12	2.5636845943633945e-11	7.599330588954224e-10	4.574105755614559e-09	6.828092434222206e-15	5.201102303912374e-14	4.1539118979295034e-12	1.1507179824040624e-08	2.1316816697311032e-13	8.778773903641106e-12	6.808237680386838e-12	1.4428229057736564e-09	1.9851388101217117e-09	8.81432218306896e-16	2.600572127988155e-15	2.2236419519848458e-05	9.322678855396748e-08	3.777687801623678e-14	7.980702863381603e-17	0.011778002209034234
AH	93	Pixel	AH	0.9965677951259595	1.0178143676686699e-09	2.788391798002885e-11	9.83124213898624e-09	5.146027055865819e-07	4.7867180340319626e-12	2.935734770129497e-12	1.767505546171659e-10	2.118553931193719e-06	2.322986573842551e-14	6.286900581609949e-12	4.677342870318657e-10	2.8219553180059917e-09	4.558814173288839e-10	4.6072835176526075e-15	7.415777369481764e-15	0.003180347695886117	3.5781488700439765e-09	3.3870922610559903e-14	1.0324372887019775e-17	0.0002492056300282603
AH	94	Pixel	AH	0.987988871716458	1.1163850735432615e-09	1.183336686250896e-07	1.254657403689478e-07	3.490407533251379e-08	3.6401995507471556e-10	8.87755129189581e-13	1.3519680031965698e-11	1.6104344346471967e-06	5.450125923422792e-12	6.547799329569825e-11	3.991240131880668e-09	1.2612118363576576e-09	5.416326710974797e-09	1.0040094401869393e-14	6.626551228313279e-14	0.011991831653899011	3.4947724594346864e-07	1.667676407046677e-12	1.0041343996681451e-13	1.7045778114493127e-05
AH	95	Pixel	AH	0.7719070996690807	1.9576984584740472e-07	1.3170469627863072e-08	1.6389030844373835e-06	0.00015736170651893205	7.019689045235413e-07	1.673817687192266e-06	1.2864685624121484e-06	0.003669458565615187	1.0075130293984584e-09	7.038534709335377e-08	4.571873228681356e-07	3.2546488729782064e-05	2.0187141379884872e-07	1.719609224899747e-10	7.280041367949165e-11	0.004564444968609126	1.6495781978377413e-06	1.5268786156258642e-09	4.398966240210212e-13	0.21966119670101783
AH	96	Pixel	AH	0.7466637778792788	7.480335880350083e-12	1.3553148244000372e-10	9.423656715316933e-09	5.613688361728657e-07	4.953234893259276e-12	4.019483299118913e-13	3.583959462076182e-11	9.670523913816831e-05	8.617644294526402e-14	3.4623525826740384e-08	6.22494393914624e-13	0.0020840963995674496	1.6893724227696792e-10	6.04828380486859e-16	3.2619513833865e-14	4.434387190232523e-07	3.7377371514395475e-07	7.954234326157285e-13	1.3977485243861745e-13	0.2511539974987418
AH	97	Pixel	TS	0.020009298053459763	1.1737863471526316e-07	2.7877922740600483e-08	6.959934965873515e-08	1.1741198616481975e-06	3.713350810778729e-11	1.1543361863682149e-09	2.4466387142206004e-07	4.219628148684391e-07	7.043621376494551e-09	1.4159838999980246e-07	3.0376516252752534e-07	3.6191677139942275e-05	1.5677818344047447e-08	1.3801617626362593e-12	4.2724262924210304e-12	0.000661434594040507	4.292873529646476e-07	2.3703323381145522e-11	8.703313196578581e-13	0.9792901214788635
AH	98	Pixel	SA	0.393482950005688	2.09782695129259e-07	4.364636875711442e-08	2.047739366959863e-07	9.057322617098353e-06	1.4297356234133724e-09	1.5028103596122984e-10	4.3167839861766275e-07	2.700024988714839e-05	5.677316537217895e-07	2.6809025620261636e-09	0.00016454903658773406	5.388857887957754e-07	5.399241344218479e-06	1.3318603931271493e-11	2.5610250738099273e-10	0.6021304731897655	6.863850576703808e-06	1.0957927920359126e-10	1.9406730800343826e-12	0.00417170596283144
AH	99	Pixel	AH	0.9876654511206283	8.729458522650889e-09	0.00010409649236209666	0.0001498834471113511	4.056465795055029e-06	4.052786205870713e-05	2.7719335431788377e-05	1.7517455474451392e-06	0.007205400126945328	8.462515807614683e-12	4.77768251183987e-07	3.2364683751618905e-10	1.5106365548100337e-05	9.290312152939281e-10	2.281873848609991e-11	3.2478689694813904e-11	0.00014310536518611204	5.871849127273279e-07	7.144537136820732e-11	5.420732450129348e-09	0.004641821182147459
AH	100	Pixel	TS	0.2926203590487857	2.3898479073155123e-09	1.0835560473856585e-08	5.4276784041690857e-08	5.2000136547192475e-08	2.74589917029715e-11	1.3017842795935435e-08	3.345229753533226e-08	8.613117006782486e-07	8.495239001872646e-12	1.5415694132531613e-09	5.127239157316696e-10	5.936798567101495e-07	1.0291062572952791e-09	1.1862394983681034e-13	2.0158801750827472e-13	1.3784538845614815e-05	1.5429486410985398e-06	1.2287301513917185e-13	1.1687716103826688e-13	0.7073626893797872
AH	101	Pixel	AH	0.9987565155225737	1.4267507941093386e-08	1.4418058351585101e-07	2.5789643733782303e-06	0.0003611288413675442	3.300710485187783e-09	2.240556929853665e-09	2.2770285521180724e-09	0.00021532853310669787	5.071199068415701e-12	5.0648882117143884e-08	3.8437512022006627e-11	1.0257569287758944e-05	3.4284786592764693e-10	1.3317164207119438e-14	1.3586125601537261e-11	0.0005699747057163481	2.785976613720805e-06	2.97644227602867e-11	1.7491041013580004e-12	8.12125402216478e-05
