label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	8	Pixel	AH	0.9597662063645649	1.2991674673477253e-08	1.35037942097312e-08	1.2027316691122892e-06	7.620531334398563e-06	1.2375860192071298e-10	5.5524481776176735e-09	1.9928638945383747e-09	7.222991505409801e-06	1.0458139829621169e-13	3.3876968287959108e-09	2.784657439000717e-12	4.2174507105739143e-08	2.4508375199091837e-10	1.7672821469516678e-14	8.502267580964087e-13	0.04020353132591442	2.048933204688015e-06	1.5307973020830283e-12	6.911662961366142e-13	1.2087144000833042e-05
AH	12	Pixel	AH	0.9957472966149404	4.491904911219033e-08	8.194288577645872e-09	1.455730760307488e-07	1.0127117097889444e-05	1.4895473980508563e-08	1.864725913415945e-08	4.631479575203317e-09	0.00011604512906943632	1.833702782326444e-10	6.758490064860957e-10	2.98438273307936e-10	3.3535837574236915e-08	2.117718170285376e-09	5.43600006920726e-13	1.4086327801607309e-10	0.004123958488008197	2.6560740844384e-07	2.2683649991067923e-11	1.241203245908539e-13	2.033207421405413e-06
AH	17	Pixel	AH	0.9991907471134114	1.736618144317681e-09	9.839096042147185e-09	3.7686658883963136e-08	2.9783879723048846e-06	2.6824230151165483e-09	4.294081157046394e-11	4.418203226996225e-10	0.0002397043198150016	4.232774669903106e-12	1.6730814623830858e-08	2.6557161740791998e-11	1.4659572992490807e-06	3.7887473673432e-09	1.6793165742833087e-13	1.515762607823173e-11	0.00025707857652689664	2.180969375326258e-07	6.617869205295444e-12	1.7738933061329648e-12	0.00030773454441143503
AH	19	Pixel	AH	0.9972008619141451	2.8694215265757053e-09	1.7688867561065083e-07	3.3220086447325096e-06	8.208424249391383e-07	8.809202964970874e-08	9.974453059168976e-10	4.81390582843316e-09	0.0018501478962825732	2.0070948088014453e-10	4.756372684751137e-08	8.195450255631845e-10	1.0715691533818675e-06	9.794690773448364e-09	2.547799808077607e-13	5.651832743022302e-13	2.9759565163489207e-05	1.5094377752241823e-07	5.757892487549301e-12	4.6935758169823006e-12	0.0009135332089869099
AH	23	Pixel	AH	0.6973069063750754	1.4541785616522701e-08	0.00019200170551873436	1.2785535100056044e-05	0.0028903117232862265	1.4818501307266711e-06	2.7418876948430943e-09	6.642167107462964e-09	0.0013063354727857915	3.574276337277066e-11	2.6150426892089504e-07	1.7812444599690393e-08	1.1237224305420684e-07	2.380893148632727e-08	1.1180371265144696e-11	5.0582409969048746e-11	0.2981537023179398	4.9517744087045934e-06	4.612267829875328e-10	3.7890788767614594e-11	0.00013108322540284357
AH	26	Pixel	AH	0.631720299637334	1.3151204259410516e-08	4.78465738750198e-12	2.7811712632986503e-08	2.736142689232536e-06	3.3999561656075666e-13	5.146124278648425e-13	2.669152467836716e-10	1.5845334145232092e-06	5.4864630352149476e-14	1.415733544454912e-12	6.038614213737424e-09	8.652029944446832e-08	6.72760743585418e-08	1.6522071964769542e-14	1.115716361946027e-12	0.36827485981579533	1.6513874652592515e-07	9.632671975608948e-13	4.125168817865895e-15	1.536579909344199e-07
AH	29	Pixel	AH	0.9906087140448477	5.0074870418743215e-09	6.064653972812728e-11	4.7047035914840734e-09	1.3619923557137184e-07	1.7523840258779488e-12	3.5444063767951096e-11	6.914331928255354e-09	2.3486668634839493e-07	6.8149954634134244e-12	2.51391091653397e-10	5.787856846582204e-10	3.557678688479986e-09	9.198131927403514e-10	9.254838902524934e-15	1.3085545304132075e-13	0.002190277242977144	2.3856062787274356e-07	5.550057520811214e-13	2.5706108116623414e-15	0.007200377046078532
AH	31	Pixel	AH	0.9972595853635224	7.687005737667536e-10	8.380812956143465e-09	2.3472427538689196e-07	9.479841542424176e-07	9.745730232308718e-10	2.3563530827627942e-11	1.2815057424546885e-10	2.1895535376153403e-05	4.739735722487566e-12	1.399803838472469e-10	3.8320074980109564e-09	1.158351400286081e-08	1.5554359828087842e-09	7.542437392560531e-14	2.7287837341592058e-14	0.002694166259176429	8.042625421752389e-08	2.6876702364563854e-13	1.4871313237566402e-16	2.306231539106644e-05
AH	33	Pixel	AH	0.9981995701793374	4.996613915521162e-09	3.522893006480224e-10	3.723986845513915e-08	1.7324141862365436e-06	3.063651966502067e-12	6.611581838724706e-13	8.076941421962858e-09	4.946954934920867e-05	3.0154207128941446e-10	6.090563231501484e-10	1.759078493136165e-08	0.0001385932892936384	2.6096113724508593e-08	2.658567660382872e-15	1.2608519160475023e-12	0.001601583636891309	1.0188873137320011e-06	1.2572335578272702e-12	3.2859940159032086e-13	7.9367738442973e-06
AH	43	Pixel	AH	0.9980920894261642	9.127390817835713e-09	9.889647744391702e-08	1.8913883663811792e-08	5.71640417756677e-07	4.5486885145078215e-10	7.636994632771384e-11	7.241074278946225e-11	2.2634073156402766e-06	1.8105962267898968e-09	8.622247080242314e-10	8.953367284742329e-11	5.175724060333468e-10	5.813053049577478e-10	1.8296434735805456e-14	3.584858628026701e-13	0.0018971688872323376	2.6883311108040647e-07	1.8861766766228383e-12	3.1059406796133114e-15	7.5064008590428434e-06
