label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	92	Pixel	TS	0.415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.57
AH	93	Pixel	AH	0.905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.07
AH	94	Pixel	AH	0.985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.01
AH	95	Pixel	AH	0.93	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.05
AH	96	Pixel	AH	0.935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.06
AH	97	Pixel	AH	0.59	0.0	0.0	0.0	0.0	0.005	0.0	0.005	0.0	0.0	0.005	0.015	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.34
AH	98	Pixel	AH	0.695	0.0	0.005	0.0	0.005	0.0	0.005	0.005	0.0	0.005	0.0	0.04	0.005	0.015	0.0	0.0	0.045	0.0	0.0	0.0	0.175
AH	99	Pixel	AH	0.6459999999999999	0.005	0.0	0.015	0.006	0.017	0.0	0.005	0.036000000000000004	0.0	0.005	0.0	0.015	0.0	0.0	0.01	0.1	0.0	0.0	0.01	0.13
AH	100	Pixel	AH	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.15
AH	101	Pixel	AH	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06
AH	102	Pixel	AH	0.925	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.035
AH	103	Pixel	AH	0.845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.005
AH	104	Pixel	AH	0.905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.005
AH	105	Pixel	AH	0.935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.015
AH	106	Pixel	AH	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.035
AH	107	Pixel	AH	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.02
AT_CA	337	Pixel	AT_CA	0.0	0.585	0.0	0.005	0.21	0.0	0.095	0.02	0.05	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.015	0.0	0.0	0.0
AT_CA	338	Pixel	AT_CA	0.01	0.52625	0.01125	0.005	0.24142857142857144	0.02	0.051428571428571435	0.01	0.0125	0.02	0.005	0.045	0.0	0.005	0.0	0.0	0.035	0.0	0.0	0.0	0.0021428571428571425
AT_CA	339	Pixel	AT_CA	0.0	0.745	0.0	0.010076923076923077	0.13523076923076924	7.692307692307693e-05	0.04	0.025	0.009615384615384616	0.005	0.0	0.01	0.0	0.005	0.0	0.0	0.015	0.0	0.0	0.0	0.0
AT_CA	340	Pixel	AT_CA	0.0	0.7245	0.005714285714285714	0.08	0.04	0.016428571428571428	0.015	0.0	0.0033571428571428567	0.025	0.005	0.04	0.005	0.0	0.01	0.0	0.025	0.005	0.0	0.0	0.0
