label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	8	Pixel	AH	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.01	0.0	0.0	0.06
AH	12	Pixel	AH	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.0	0.0	0.0	0.0
AH	17	Pixel	AH	0.86	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.04
AH	19	Pixel	AH	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.16	0.0	0.0	0.0	0.27
AH	23	Pixel	SA	0.34	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.61	0.0	0.01	0.01	0.0
AH	26	Pixel	AH	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.03
AH	29	Pixel	AH	0.53	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.42
AH	31	Pixel	AH	0.62	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.03	0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.2
AH	33	Pixel	AH	0.91	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.06
AH	43	Pixel	AH	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.02
AH	45	Pixel	AH	0.69	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.02	0.01	0.0	0.0	0.24	0.0	0.0	0.0	0.01
AH	47	Pixel	AH	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.01	0.0	0.04
AH	51	Pixel	AH	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.03
AH	61	Pixel	AH	0.81	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.04
AH	65	Pixel	AH	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0
AH	68	Pixel	AH	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.02
AH	69	Pixel	AH	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.01
AH	70	Pixel	AH	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.1
AH	79	Pixel	AH	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.27
AH	80	Pixel	AH	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.09	0.01	0.0	0.0	0.01
AH	84	Pixel	AH	0.74	0.0	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.21
AH	93	Pixel	AH	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.08
AH	95	Pixel	AH	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.02
AH	96	Pixel	AH	0.68	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.01	0.05	0.0	0.0	0.0	0.19	0.01	0.0	0.0	0.03
AH	99	Pixel	AH	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.09
AH	100	Pixel	AH	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.01
AH	106	Pixel	AH	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.02	0.0	0.0	0.0	0.06	0.01	0.0	0.0	0.12
AH	109	Pixel	AH	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03
AH	111	Pixel	AH	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.11
AH	120	Pixel	AH	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.06
AH	122	Pixel	AH	0.54	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.02	0.0	0.01	0.23	0.0	0.0	0.0	0.13
AT_CA	2	Pixel	AT_CA	0.0	0.72	0.01	0.0	0.07	0.01	0.02	0.02	0.03	0.01	0.0	0.08	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0
AT_CA	5	Pixel	AT_CA	0.0	0.8	0.0	0.01	0.0	0.01	0.01	0.02	0.0	0.02	0.0	0.1	0.0	0.0	0.0	0.0	0.02	0.01	0.0	0.0	0.0
AT_CA	10	Pixel	AT_CA	0.0	0.55	0.08	0.11	0.01	0.02	0.1	0.09	0.02	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0
AT_CA	11	Pixel	AT_CA	0.01	0.51	0.02	0.11	0.07	0.0	0.06	0.0	0.05	0.02	0.0	0.08	0.0	0.0	0.01	0.0	0.03	0.02	0.0	0.0	0.01
AT_CA	12	Pixel	AT_I2	0.0	0.24	0.01	0.03	0.47	0.0	0.1	0.02	0.06	0.01	0.0	0.03	0.0	0.0	0.0	0.0	0.01	0.02	0.0	0.0	0.0
AT_CA	20	Pixel	AT_CA	0.0	0.85	0.01	0.04	0.03	0.0	0.0	0.0	0.02	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0
AT_CA	23	Pixel	AT_CA	0.0	0.48	0.04	0.14	0.03	0.04	0.04	0.07	0.04	0.04	0.02	0.0	0.0	0.0	0.01	0.0	0.0	0.05	0.0	0.0	0.0
