label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	9	Redmi	SA	0.17	0.04	0.0	0.02	0.26	0.0	0.0	0.0	0.08	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0
AH	11	Redmi	SA	0.23	0.03	0.06	0.02	0.12	0.02	0.01	0.0	0.22	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.02
AH	12	Redmi	SA	0.18	0.03	0.04	0.0	0.06	0.04	0.02	0.01	0.1	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.02
AH	16	Redmi	SA	0.19	0.0	0.01	0.02	0.11	0.0	0.01	0.0	0.11	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.01	0.0
AH	24	Redmi	AH	0.31	0.05	0.02	0.0	0.17	0.02	0.03	0.0	0.09	0.02	0.01	0.02	0.02	0.0	0.0	0.01	0.11	0.0	0.0	0.0	0.12
AH	29	Redmi	AT_S	0.14	0.0	0.03	0.0	0.08	0.02	0.01	0.0	0.3	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.07
AH	30	Redmi	SA	0.24	0.01	0.01	0.01	0.09	0.02	0.0	0.01	0.1	0.0	0.0	0.01	0.07	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.09
AH	31	Redmi	AH	0.49	0.02	0.0	0.0	0.03	0.03	0.0	0.0	0.01	0.0	0.01	0.03	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.01
AH	32	Redmi	SA	0.41	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.02	0.0	0.0	0.02	0.02	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.02
AH	37	Redmi	ES	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.04	0.09	0.18	0.27	0.02	0.02	0.03	0.0	0.11	0.05	0.17
AH	49	Redmi	SA	0.15	0.09	0.02	0.0	0.12	0.03	0.0	0.0	0.17	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0
AH	51	Redmi	AT_S	0.15	0.05	0.03	0.01	0.16	0.05	0.0	0.01	0.24	0.0	0.01	0.0	0.09	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.03
AH	61	Redmi	SA	0.07	0.02	0.02	0.0	0.11	0.0	0.0	0.0	0.01	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.02
AH	63	Redmi	SA	0.16	0.04	0.05	0.0	0.14	0.0	0.01	0.01	0.18	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.06
AH	65	Redmi	AT_S	0.13	0.02	0.05	0.01	0.12	0.05	0.0	0.0	0.24	0.0	0.02	0.0	0.1	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.05
AH	66	Redmi	AH	0.26	0.04	0.04	0.05	0.04	0.0	0.0	0.01	0.11	0.0	0.06	0.0	0.05	0.0	0.0	0.0	0.25	0.0	0.0	0.01	0.08
AH	70	Redmi	AH	0.75	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.01	0.0	0.01	0.03	0.01	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0
AH	74	Redmi	SA	0.22	0.02	0.02	0.01	0.08	0.03	0.0	0.01	0.16	0.0	0.01	0.02	0.08	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.07
AH	77	Redmi	SA	0.31	0.01	0.01	0.01	0.07	0.0	0.0	0.01	0.08	0.0	0.02	0.0	0.06	0.0	0.0	0.0	0.33	0.01	0.0	0.0	0.08
AH	86	Redmi	SA	0.2	0.06	0.08	0.03	0.07	0.02	0.0	0.0	0.18	0.0	0.02	0.0	0.01	0.0	0.0	0.0	0.27	0.01	0.0	0.0	0.05
AH	88	Redmi	SA	0.14	0.01	0.01	0.02	0.06	0.02	0.0	0.0	0.17	0.01	0.01	0.03	0.04	0.0	0.0	0.01	0.44	0.0	0.0	0.01	0.02
AH	89	Redmi	AH	0.6	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.04	0.0	0.0	0.0	0.13	0.0	0.01	0.0	0.17
AH	93	Redmi	AH	0.29	0.0	0.02	0.01	0.06	0.02	0.02	0.01	0.13	0.0	0.01	0.05	0.08	0.0	0.0	0.01	0.2	0.0	0.0	0.01	0.08
AH	95	Redmi	SA	0.23	0.01	0.06	0.01	0.07	0.01	0.0	0.0	0.23	0.01	0.02	0.0	0.03	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.08
AH	104	Redmi	AH	0.21	0.01	0.02	0.04	0.06	0.04	0.02	0.01	0.18	0.0	0.02	0.01	0.11	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.09
AH	107	Redmi	SA	0.33	0.03	0.07	0.02	0.05	0.03	0.0	0.01	0.08	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.01
AH	113	Redmi	AH	0.24	0.05	0.04	0.01	0.06	0.04	0.01	0.01	0.14	0.0	0.02	0.0	0.1	0.01	0.01	0.0	0.21	0.0	0.0	0.0	0.05
AH	124	Redmi	SA	0.18	0.02	0.0	0.0	0.01	0.01	0.02	0.0	0.03	0.0	0.01	0.01	0.05	0.01	0.0	0.0	0.6	0.0	0.0	0.0	0.05
AT_CA	0	Redmi	AT_CA	0.0	0.5	0.0	0.02	0.08	0.0	0.05	0.02	0.04	0.07	0.01	0.16	0.01	0.01	0.0	0.0	0.01	0.02	0.0	0.0	0.0
AT_CA	1	Redmi	AT_CA	0.0	0.65	0.02	0.01	0.09	0.0	0.08	0.01	0.03	0.03	0.02	0.01	0.0	0.01	0.0	0.04	0.0	0.0	0.0	0.0	0.0
AT_CA	4	Redmi	AT_CA	0.0	0.64	0.0	0.08	0.04	0.0	0.12	0.04	0.0	0.03	0.0	0.02	0.0	0.01	0.0	0.0	0.02	0.0	0.0	0.0	0.0
AT_CA	16	Redmi	AT_CA	0.0	0.49	0.04	0.14	0.08	0.01	0.12	0.07	0.02	0.0	0.0	0.02	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0
AT_CA	20	Redmi	ES	0.02	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.05	0.09	0.08	0.12	0.26	0.06	0.02	0.04	0.03	0.05	0.05	0.12
AT_CA	24	Redmi	AT_CA	0.0	0.61	0.01	0.1	0.13	0.0	0.1	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0
AT_CA	26	Redmi	AT_CA	0.0	0.58	0.0	0.09	0.23	0.0	0.08	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
AT_CA	29	Redmi	AT_CA	0.0	0.47	0.0	0.19	0.04	0.01	0.12	0.03	0.0	0.03	0.0	0.01	0.0	0.01	0.0	0.01	0.0	0.08	0.0	0.0	0.0
