label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	111	Xiaomi	SA	0.17	0.01	0.02	0.02	0.1	0.01	0.02	0.01	0.09	0.0	0.02	0.04	0.06	0.0	0.0	0.0	0.36	0.0	0.0	0.01	0.06
AH	112	Xiaomi	SA	0.21	0.01	0.02	0.01	0.09	0.01	0.03	0.0	0.1	0.01	0.02	0.03	0.06	0.0	0.0	0.01	0.28	0.01	0.0	0.0	0.1
AH	113	Xiaomi	SA	0.13	0.0	0.0	0.03	0.09	0.0	0.01	0.01	0.2	0.0	0.02	0.04	0.04	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.12
AH	114	Xiaomi	SA	0.11	0.02	0.03	0.0	0.15	0.01	0.01	0.01	0.22	0.0	0.02	0.03	0.02	0.0	0.0	0.01	0.27	0.01	0.0	0.0	0.08
AH	115	Xiaomi	AT_I2	0.07	0.06	0.06	0.01	0.29	0.0	0.02	0.02	0.22	0.0	0.0	0.03	0.01	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0
AH	116	Xiaomi	AT_S	0.11	0.03	0.01	0.0	0.15	0.0	0.0	0.01	0.39	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.01
AH	117	Xiaomi	SA	0.19	0.0	0.01	0.02	0.08	0.02	0.0	0.0	0.18	0.0	0.02	0.03	0.03	0.0	0.0	0.01	0.36	0.0	0.0	0.0	0.05
AH	118	Xiaomi	AT_S	0.06	0.0	0.07	0.01	0.13	0.03	0.01	0.0	0.34	0.01	0.03	0.0	0.05	0.0	0.0	0.0	0.16	0.0	0.0	0.02	0.08
AH	119	Xiaomi	AT_S	0.17	0.0	0.04	0.03	0.1	0.03	0.0	0.0	0.3	0.0	0.03	0.0	0.04	0.0	0.0	0.01	0.16	0.01	0.0	0.02	0.06
AH	123	Xiaomi	AT_S	0.08	0.01	0.03	0.03	0.17	0.01	0.01	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0
AH	124	Xiaomi	AT_I2	0.04	0.02	0.06	0.03	0.33	0.02	0.0	0.0	0.22	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.23	0.01	0.0	0.0	0.02
AH	125	Xiaomi	AT_S	0.1	0.02	0.01	0.01	0.15	0.01	0.01	0.01	0.34	0.0	0.0	0.02	0.04	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.03
AT_CA	469	Xiaomi	AT_CA	0.0	0.52	0.0	0.12	0.02	0.0	0.17	0.05	0.0	0.04	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.07	0.0	0.0	0.0
AT_CA	470	Xiaomi	AT_CA	0.0	0.68	0.0	0.02	0.04	0.0	0.16	0.01	0.0	0.05	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0
AT_CA	471	Xiaomi	AT_CA	0.0	0.52	0.0	0.01	0.09	0.0	0.18	0.01	0.01	0.06	0.0	0.02	0.0	0.01	0.0	0.0	0.01	0.08	0.0	0.0	0.0
AT_CA	472	Xiaomi	AT_CA	0.0	0.66	0.01	0.09	0.07	0.0	0.13	0.03	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT_CA	473	Xiaomi	AT_CA	0.0	0.39	0.0	0.02	0.08	0.0	0.3	0.03	0.0	0.08	0.0	0.02	0.0	0.01	0.01	0.0	0.0	0.06	0.0	0.0	0.0
AT_CA	474	Xiaomi	AT_CA	0.0	0.41	0.0	0.03	0.03	0.0	0.21	0.01	0.0	0.08	0.0	0.01	0.0	0.01	0.01	0.01	0.0	0.19	0.0	0.0	0.0
AT_CA	475	Xiaomi	AT_CA	0.0	0.59	0.0	0.02	0.07	0.0	0.11	0.02	0.0	0.08	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.09	0.0	0.0	0.0
AT_CA	476	Xiaomi	AT_CA	0.0	0.47	0.01	0.23	0.03	0.0	0.12	0.02	0.01	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0
