label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	9	Redmi	AH	0.575	0.005	0.005	0.0	0.08	0.01	0.01	0.005	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.025
AH	11	Redmi	AH	0.575	0.0	0.005076923076923077	0.005	0.025	0.0	0.0	0.0	0.06492307692307692	0.0	0.0	0.005	0.03	0.0	0.0	0.0	0.205	0.0	0.0	0.0	0.085
AH	12	Redmi	AH	0.65	0.01	0.0	0.0	0.025	0.005	0.005	0.005	0.05	0.005	0.0	0.0	0.01	0.0	0.0	0.0	0.195	0.0	0.0	0.0	0.04
AH	16	Redmi	SA	0.38	0.005	0.005	0.0	0.00515625	0.005	0.0	0.0	0.00984375	0.0	0.005	0.015	0.0	0.0	0.0	0.0	0.55	0.005	0.0	0.0	0.015
AH	24	Redmi	AH	0.715	0.005	0.01	0.005	0.02	0.0	0.0	0.0	0.01	0.0	0.0	0.015	0.01	0.0	0.0	0.0	0.135	0.0	0.0	0.0	0.075
AH	29	Redmi	AH	0.88	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.105	0.0	0.0	0.0	0.005
AH	30	Redmi	AH	0.865	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.005	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.055
AH	31	Redmi	AH	0.82	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.02
AH	32	Redmi	AH	0.77	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.145	0.0	0.0	0.0	0.075
AH	37	Redmi	ES	0.006339285714285714	0.00045454545454545455	0.00041666666666666664	0.031681087187666136	0.0012732589048378524	0.0006512605042016806	0.0	0.003926767676767677	0.04106034191986204	0.028519520168513973	0.011311243795763919	0.1458339903345708	0.14896509433119337	0.16639615946059438	0.006801839156715317	0.049932247061504016	0.015782709614946457	0.0682900432900433	0.09688492063492066	0.03563131313131313	0.13984770499108737
AH	49	Redmi	AH	0.695	0.005	0.005	0.0	0.015	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.255	0.0	0.0	0.0	0.01
AH	51	Redmi	AH	0.76	0.005	0.01	0.0	0.025	0.005	0.0	0.0	0.03	0.0	0.0	0.005	0.01	0.0	0.0	0.0	0.115	0.0	0.0	0.0	0.035
AH	61	Redmi	SA	0.14	0.005	0.0	0.0	0.02015625	0.0	0.0	0.0	0.00484375	0.005	0.005	0.025	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.055
AH	63	Redmi	AH	0.875	0.01	0.0	0.0	0.005	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.02
AH	65	Redmi	AH	0.885	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.04
AH	66	Redmi	AH	0.81	0.0	0.0	0.0	0.0	0.005	0.0	0.005	0.02	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.115
AH	70	Redmi	AH	0.825	0.0	0.0	0.0125	0.01	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.1025
AH	74	Redmi	AH	0.795	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.185
AH	77	Redmi	AH	0.82	0.005	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.05
AH	86	Redmi	AH	0.635	0.015	7.692307692307693e-05	0.005	0.03	0.0	0.0	0.0	0.049923076923076924	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.205	0.0	0.0	0.0	0.05
AH	88	Redmi	AH	0.51	0.018333333333333333	0.014342105263157894	0.005	0.05592982456140352	0.0025	0.0	0.0	0.05889473684210525	0.0	0.005	0.005	0.0	0.0	0.0	0.0	0.285	0.005	0.0	0.0	0.035
AH	89	Redmi	AH	0.835	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.115
AH	93	Redmi	AH	0.793125	0.005	0.01	0.0	0.016666666666666666	0.005	0.0	0.005	0.016875	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.02625	0.000625	0.0	0.0	0.10645833333333332
AH	95	Redmi	AH	0.76	0.0	0.005	0.0	0.005	0.005	0.0	0.0	0.02	0.0	0.005	0.0	0.005	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.16
AH	104	Redmi	AH	0.65	0.0	0.005	0.005	0.005	0.0	0.005	0.005	0.045	0.0	0.005	0.0	0.015	0.0	0.0	0.0	0.065	0.0	0.0	0.005	0.19
