label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	111	Xiaomi	SA	0.265	0.015	0.015	0.0	0.035	0.005	0.005	0.005	0.055	0.005	0.015	0.04	0.04	0.0	0.0	0.005	0.36	0.0	0.0	0.0	0.135
AH	112	Xiaomi	AH	0.39583333333333337	0.01	0.005833333333333334	0.005	0.065	0.0008333333333333333	0.005	0.01	0.0475	0.01	0.02	0.035	0.01	0.0	0.0	0.005	0.2	0.0	0.0	0.0	0.175
AH	113	Xiaomi	AH	0.655	0.0	0.01009433962264151	0.0	0.010188679245283019	0.0	0.0	0.0	0.029716981132075472	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.135
AH	114	Xiaomi	AH	0.6358333333333334	0.01	0.019261006289308175	0.0	0.046344929245283016	0.0016666666666666666	0.0	0.005	0.07989406446540881	0.005	0.0	0.015	0.005	0.0	0.0	0.0	0.162	0.0	0.0	0.0	0.015
AH	115	Xiaomi	AH	0.45083333333333336	0.01	0.009166666666666667	0.0	0.12901339285714286	0.006666666666666667	0.005	0.025	0.06231994047619047	0.0	0.005	0.01	0.0	0.0	0.0	0.0	0.27699999999999997	0.005	0.0	0.0	0.005
AH	116	Xiaomi	AH	0.64	0.0	0.010125	0.0	0.024013392857142858	0.00015151515151515152	0.0	0.005	0.11371009199134198	0.0	0.0	0.005	0.005	0.0	0.0	0.0	0.16699999999999998	0.0	0.0	0.0	0.03
AH	117	Xiaomi	AH	0.595	0.005	0.005	0.0	0.04015625	0.005	0.01	0.0075	0.08234375	0.005	0.005	0.005	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.025
AH	118	Xiaomi	AH	0.5083333333333333	0.0008333333333333333	0.0368859649122807	0.030789473684210526	0.03	0.0013596491228070173	0.015	0.01	0.12385964912280702	0.0	0.005263157894736842	0.0	0.02	0.0	0.0	0.0	0.055	0.005	0.0	0.0002631578947368421	0.15741228070175436
AH	119	Xiaomi	AH	0.43	0.005	0.010416666666666664	0.01	0.055	0.02	0.0	0.01	0.11458333333333334	0.0	0.015	0.05	0.02	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.04
AH	123	Xiaomi	SA	0.37	0.01	0.01	0.005	0.08	0.00015151515151515152	0.01	0.005	0.07484848484848484	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.015
AH	124	Xiaomi	AH	0.45083333333333336	0.015833333333333335	0.010833333333333335	0.0	0.15515625	0.0008333333333333333	0.010833333333333335	0.005	0.12484375	0.005	0.0	0.0075	0.0	0.003333333333333333	0.0	0.0	0.195	0.0	0.0	0.0	0.015
AH	125	Xiaomi	AH	0.49583333333333335	0.015	0.0008333333333333333	0.01	0.09	0.005833333333333334	0.0	0.005	0.09	0.0	0.0	0.0025	0.005	0.0	0.0	0.0	0.265	0.0	0.0	0.0	0.015
AT_CA	469	Xiaomi	AT_CA	0.0	0.57	0.0	0.015	0.015	0.0	0.11	0.07	0.005	0.09	0.0	0.04	0.0	0.005	0.0	0.01	0.0	0.07	0.0	0.0	0.0
AT_CA	470	Xiaomi	AT_CA	0.0	0.555	0.0	0.005	0.015	0.01	0.08	0.0	0.0	0.195	0.0	0.07	0.0	0.01	0.0	0.015	0.0	0.045	0.0	0.0	0.0
AT_CA	471	Xiaomi	AT_CA	0.0	0.67	0.0	0.0	0.01	0.0	0.07	0.02	0.01	0.085	0.0	0.07	0.0	0.005	0.0	0.0	0.005	0.055	0.0	0.0	0.0
AT_CA	472	Xiaomi	AT_CA	0.005	0.76	0.0	0.025	0.005	0.005	0.11	0.025	0.005	0.015	0.0	0.01	0.0	0.02	0.0	0.01	0.005	0.0	0.0	0.0	0.0
AT_CA	473	Xiaomi	AT_CA	0.0	0.49	0.0	0.005	0.035	0.005	0.16	0.05	0.015	0.085	0.0	0.04	0.0	0.005	0.0	0.005	0.005	0.1	0.0	0.0	0.0
AT_CA	474	Xiaomi	AT_CA	0.0	0.54	0.0	0.005	0.025	0.0	0.085	0.04	0.0	0.125	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0
AT_CA	475	Xiaomi	AT_CA	0.0	0.445	0.0	0.01	0.04	0.005	0.08	0.035	0.015	0.155	0.0	0.055	0.0	0.005	0.0	0.0	0.01	0.145	0.0	0.0	0.0
