label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	92	Pixel	TS	0.175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.005	0.015	0.02	0.0	0.0	0.02	0.0	0.0	0.0	0.755
AH	93	Pixel	AH	0.47	0.0	0.0	0.005	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.065	0.0	0.0	0.0	0.435
AH	94	Pixel	TS	0.415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.005	0.005	0.005	0.0	0.09	0.0	0.0	0.0	0.475
AH	95	Pixel	TS	0.295	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.005	0.015	0.0	0.0	0.095	0.0	0.0	0.0	0.575
AH	96	Pixel	TS	0.165	0.005	0.0	0.005	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.005	0.0	0.0	0.0	0.81
AH	97	Pixel	TS	0.155	0.0	0.0	0.005	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.005	0.8
AH	98	Pixel	TS	0.14	0.005	0.0	0.005	0.015	0.01	0.02	0.015	0.005	0.0	0.0	0.06	0.005	0.05	0.0	0.005	0.025	0.0	0.0	0.0	0.64
AH	99	Pixel	TS	0.215	0.005	0.005	0.02	0.025	0.02	0.015	0.005	0.025	0.0	0.01	0.025	0.025	0.03	0.025	0.015	0.07	0.015	0.005	0.005	0.44
AH	100	Pixel	TS	0.295	0.0	0.0	0.01	0.0	0.01	0.005	0.005	0.03	0.0	0.0	0.005	0.015	0.015	0.005	0.0	0.03	0.0	0.0	0.0	0.575
AH	101	Pixel	TS	0.425	0.0	0.0	0.01	0.005	0.005	0.0	0.0	0.015	0.0	0.0	0.0	0.015	0.02	0.0	0.0	0.02	0.0	0.0	0.0	0.485
AH	102	Pixel	TS	0.395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.015	0.0	0.005	0.08	0.0	0.0	0.0	0.5
