label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	9	Redmi	AH	0.65	0.03	0.005	0.0	0.01	0.005	0.01	0.0	0.01	0.005	0.0	0.0	0.0	0.0	0.0	0.005	0.24	0.0	0.0	0.0	0.03
AH	11	Redmi	AH	0.43	0.02	0.0	0.015	0.095	0.005	0.005	0.02	0.06	0.005	0.0	0.045	0.045	0.0	0.0	0.005	0.1	0.0	0.0	0.0	0.15
AH	12	Redmi	AH	0.815	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.02	0.005	0.0	0.005	0.005	0.0	0.0	0.005	0.07	0.0	0.0	0.0	0.07
AH	16	Redmi	AH	0.57	0.0	0.0	0.005	0.005	0.0	0.0	0.005	0.0	0.0	0.01	0.025	0.0	0.015	0.01	0.02	0.175	0.01	0.0	0.005	0.145
AH	24	Redmi	AH	0.77	0.0	0.0	0.0	0.0	0.0	0.005	0.005	0.02	0.005	0.005	0.005	0.005	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.11
AH	29	Redmi	AH	0.865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.005	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.015
AH	30	Redmi	AH	0.81	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.005	0.0	0.005	0.0	0.115	0.0	0.0	0.0	0.055
AH	31	Redmi	AH	0.705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.145	0.0	0.0	0.0	0.125
AH	32	Redmi	AH	0.745	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055	0.0	0.0	0.0	0.19
AH	37	Redmi	DF	0.005	0.0	0.0	0.04	0.0	0.005	0.0	0.015	0.13	0.04	0.0	0.205	0.08	0.05	0.035	0.155	0.005	0.115	0.03	0.01	0.08
AH	49	Redmi	AH	0.875	0.005	0.0	0.005	0.0	0.0	0.0	0.0	0.02	0.005	0.0	0.0	0.0	0.0	0.0	0.005	0.065	0.0	0.0	0.0	0.02
