label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	111	Xiaomi	SA	0.245	0.005	0.0	0.01	0.01	0.005	0.0	0.0	0.01	0.01	0.005	0.12	0.03	0.0	0.0	0.005	0.365	0.0	0.0	0.0	0.18
AH	112	Xiaomi	AH	0.44	0.005	0.0	0.005	0.025	0.005	0.01	0.0	0.025	0.005	0.025	0.025	0.025	0.0	0.005	0.01	0.115	0.0	0.0	0.01	0.265
AH	113	Xiaomi	AH	0.675	0.0	0.005	0.01	0.015	0.005	0.0	0.005	0.01	0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.205
AH	114	Xiaomi	AH	0.81	0.0	0.005	0.0	0.01	0.005	0.005	0.005	0.03	0.0	0.0	0.005	0.015	0.0	0.0	0.02	0.045	0.0	0.0	0.0	0.045
AH	115	Xiaomi	AH	0.61	0.005	0.0	0.025	0.02	0.02	0.01	0.01	0.025	0.0	0.01	0.0	0.015	0.005	0.005	0.02	0.175	0.005	0.0	0.0	0.04
AH	116	Xiaomi	AH	0.74	0.0	0.015	0.0	0.01	0.01	0.005	0.005	0.055	0.0	0.0	0.0	0.02	0.0	0.0	0.005	0.115	0.0	0.0	0.0	0.02
AH	117	Xiaomi	AH	0.83	0.0	0.005	0.0	0.005	0.0	0.01	0.0	0.04	0.0	0.0	0.01	0.01	0.0	0.0	0.005	0.065	0.0	0.0	0.0	0.02
AH	118	Xiaomi	AH	0.72	0.0	0.005	0.005	0.005	0.005	0.005	0.01	0.035	0.0	0.005	0.005	0.02	0.0	0.0	0.0	0.02	0.0	0.0	0.005	0.155
AH	119	Xiaomi	AH	0.34	0.02	0.03	0.01	0.095	0.025	0.005	0.005	0.04	0.005	0.005	0.11	0.015	0.005	0.005	0.0	0.22	0.005	0.0	0.005	0.055
AH	123	Xiaomi	AH	0.645	0.005	0.005	0.005	0.03	0.015	0.01	0.005	0.035	0.01	0.005	0.01	0.005	0.0	0.01	0.01	0.17	0.005	0.005	0.005	0.01
AH	124	Xiaomi	AH	0.75	0.005	0.005	0.005	0.025	0.005	0.01	0.01	0.08	0.0	0.005	0.0	0.005	0.0	0.0	0.005	0.08	0.0	0.0	0.005	0.005
AH	125	Xiaomi	AH	0.675	0.005	0.015	0.005	0.015	0.005	0.0	0.0	0.055	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.19	0.0	0.0	0.0	0.015
AT_CA	469	Xiaomi	AT_CA	0.0	0.52	0.0	0.005	0.02	0.005	0.085	0.065	0.0	0.085	0.0	0.05	0.0	0.015	0.005	0.015	0.0	0.13	0.0	0.0	0.0
AT_CA	470	Xiaomi	AT_CA	0.0	0.63	0.0	0.005	0.02	0.0	0.01	0.02	0.0	0.115	0.0	0.07	0.0	0.005	0.01	0.005	0.0	0.105	0.0	0.005	0.0
AT_CA	471	Xiaomi	AT_CA	0.0	0.71	0.0	0.0	0.005	0.0	0.025	0.015	0.005	0.1	0.0	0.075	0.0	0.015	0.005	0.005	0.01	0.03	0.0	0.0	0.0
AT_CA	472	Xiaomi	AT_CA	0.0	0.765	0.005	0.005	0.035	0.0	0.045	0.065	0.01	0.01	0.0	0.025	0.0	0.01	0.01	0.005	0.005	0.005	0.0	0.0	0.0
AT_CA	473	Xiaomi	AT_CA	0.01	0.625	0.01	0.005	0.015	0.0	0.175	0.04	0.005	0.04	0.0	0.02	0.0	0.01	0.005	0.01	0.01	0.015	0.0	0.0	0.005
AT_CA	474	Xiaomi	AT_CA	0.005	0.445	0.005	0.0	0.075	0.0	0.055	0.02	0.015	0.12	0.0	0.145	0.0	0.01	0.0	0.0	0.025	0.08	0.0	0.0	0.0
AT_CA	475	Xiaomi	AT_CA	0.005	0.29	0.03	0.05	0.065	0.045	0.14	0.025	0.005	0.075	0.0	0.045	0.0	0.03	0.0	0.0	0.015	0.18	0.0	0.0	0.0
AT_CA	476	Xiaomi	AT_O1	0.0	0.22	0.0	0.05	0.045	0.04	0.25	0.11	0.025	0.09	0.0	0.03	0.0	0.025	0.0	0.0	0.005	0.11	0.0	0.0	0.0
AT_CA	477	Xiaomi	AT_CA	0.0	0.41	0.01	0.1	0.045	0.05	0.19	0.145	0.02	0.0	0.0	0.01	0.0	0.005	0.0	0.005	0.005	0.005	0.0	0.0	0.0
AT_CA	478	Xiaomi	AT_CA	0.02	0.225	0.015	0.04	0.08	0.03	0.19	0.095	0.01	0.06	0.0	0.13	0.0	0.0	0.005	0.005	0.09	0.005	0.0	0.0	0.0
AT_CA	482	Xiaomi	AT_CA	0.035	0.22	0.02	0.075	0.025	0.055	0.105	0.04	0.035	0.025	0.03	0.15	0.02	0.03	0.01	0.02	0.045	0.03	0.0	0.005	0.025
AT_CA	483	Xiaomi	AT_CA	0.02	0.305	0.03	0.06	0.09	0.03	0.145	0.06	0.065	0.03	0.005	0.04	0.005	0.005	0.015	0.0	0.02	0.07	0.0	0.005	0.0
AT_CA	484	Xiaomi	AT_CA	0.0	0.4	0.01	0.03	0.05	0.01	0.15	0.065	0.02	0.015	0.005	0.11	0.0	0.03	0.005	0.04	0.055	0.005	0.0	0.0	0.0
AT_CA	485	Xiaomi	AT_CA	0.04	0.435	0.0	0.025	0.06	0.0	0.175	0.015	0.005	0.01	0.0	0.02	0.0	0.01	0.0	0.0	0.18	0.01	0.0	0.0	0.015
AT_CA	486	Xiaomi	AT_O1	0.0	0.37	0.0	0.01	0.025	0.0	0.395	0.035	0.005	0.065	0.0	0.025	0.0	0.015	0.0	0.0	0.015	0.035	0.0	0.005	0.0
AT_CA	487	Xiaomi	AT_CA	0.0	0.365	0.025	0.0	0.04	0.02	0.3	0.07	0.01	0.1	0.0	0.015	0.0	0.005	0.0	0.0	0.0	0.045	0.0	0.005	0.0
AT_CH	384	Xiaomi	AT_M	0.0	0.0	0.045	0.12	0.03	0.7	0.0	0.005	0.015	0.0	0.035	0.0	0.005	0.0	0.005	0.005	0.0	0.005	0.0	0.025	0.005
AT_CH	385	Xiaomi	AT_M	0.015	0.015	0.145	0.29	0.06	0.36	0.01	0.03	0.06	0.005	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT_CH	386	Xiaomi	AT_M	0.01	0.055	0.1	0.145	0.1	0.415	0.03	0.025	0.09	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0
AT_CH	387	Xiaomi	AT_CH	0.03	0.01	0.505	0.06	0.06	0.13	0.0	0.005	0.175	0.0	0.01	0.005	0.005	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0
AT_CH	388	Xiaomi	AT_CH	0.04	0.005	0.425	0.03	0.215	0.12	0.0	0.0	0.025	0.005	0.02	0.025	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.015	0.0
AT_CH	389	Xiaomi	AT_CH	0.0	0.0	0.715	0.045	0.04	0.03	0.01	0.005	0.06	0.0	0.08	0.0	0.005	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
AT_CH	390	Xiaomi	AT_CH	0.0	0.04	0.655	0.035	0.01	0.015	0.05	0.035	0.13	0.0	0.015	0.0	0.0	0.0	0.0	0.005	0.005	0.005	0.0	0.0	0.0
AT_CH	391	Xiaomi	AT_CH	0.0	0.0	0.83	0.02	0.015	0.005	0.0	0.0	0.125	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT_CH	392	Xiaomi	AT_CH	0.0	0.01	0.565	0.045	0.055	0.055	0.04	0.055	0.14	0.0	0.015	0.0	0.005	0.0	0.0	0.0	0.0	0.01	0.0	0.005	0.0
AT_CH	393	Xiaomi	AT_CH	0.0	0.01	0.645	0.06	0.04	0.055	0.06	0.015	0.09	0.0	0.005	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0
AT_CH	394	Xiaomi	AT_CH	0.0	0.0	0.63	0.125	0.02	0.11	0.02	0.055	0.03	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0
AT_CH	395	Xiaomi	AT_CH	0.0	0.02	0.5	0.1	0.035	0.14	0.035	0.05	0.11	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT_CH	396	Xiaomi	AT_CH	0.0	0.0	0.46	0.055	0.015	0.155	0.05	0.03	0.2	0.0	0.0	0.005	0.015	0.0	0.0	0.0	0.01	0.0	0.0	0.005	0.0
AT_CH	400	Xiaomi	AT_CH	0.015	0.035	0.37	0.075	0.025	0.12	0.045	0.07	0.04	0.0	0.055	0.015	0.015	0.015	0.005	0.03	0.0	0.0	0.0	0.05	0.02
AT_CH	401	Xiaomi	AT_CH	0.0	0.015	0.34	0.165	0.015	0.155	0.04	0.095	0.035	0.0	0.06	0.0	0.015	0.015	0.0	0.005	0.005	0.0	0.0	0.035	0.005
AT_CH	402	Xiaomi	AT_CH	0.0	0.0	0.415	0.135	0.0	0.325	0.015	0.025	0.055	0.0	0.005	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01
AT_CH	403	Xiaomi	AT_M	0.005	0.0	0.255	0.13	0.02	0.28	0.0	0.0	0.265	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.01
AT_CH	404	Xiaomi	AT_CH	0.0	0.0	0.51	0.075	0.02	0.07	0.0	0.005	0.13	0.0	0.135	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0
AT_CH	405	Xiaomi	AT_CH	0.0	0.01	0.625	0.03	0.015	0.09	0.005	0.015	0.105	0.0	0.05	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0
AT_CH	406	Xiaomi	AT_CH	0.005	0.02	0.29	0.09	0.02	0.25	0.01	0.01	0.225	0.005	0.025	0.0	0.03	0.0	0.0	0.0	0.0	0.005	0.0	0.015	0.0
