label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	8	Pixel	AH	0.645	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.005	0.0	0.05	0.0	0.0	0.0	0.29
AH	12	Pixel	AH	0.48	0.0	0.0	0.005	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.025	0.0	0.0	0.05	0.0	0.0	0.0	0.43
AH	17	Pixel	TS	0.42	0.0	0.0	0.01	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.005	0.005	0.015	0.0	0.0	0.015	0.0	0.0	0.0	0.525
AH	19	Pixel	TS	0.36	0.0	0.005	0.005	0.005	0.005	0.015	0.0	0.005	0.0	0.01	0.005	0.005	0.025	0.005	0.0	0.04	0.0	0.0	0.0	0.51
AH	23	Pixel	TS	0.15	0.01	0.0	0.02	0.01	0.03	0.0	0.055	0.025	0.03	0.0	0.135	0.01	0.085	0.015	0.015	0.05	0.0	0.02	0.005	0.335
AH	26	Pixel	TS	0.295	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.01	0.0	0.0	0.12	0.01	0.0	0.0	0.555
AH	29	Pixel	TS	0.125	0.0	0.0	0.0	0.01	0.0	0.005	0.005	0.0	0.0	0.0	0.005	0.015	0.02	0.005	0.0	0.005	0.005	0.0	0.0	0.8
AH	31	Pixel	TS	0.27	0.005	0.0	0.005	0.005	0.005	0.0	0.005	0.01	0.0	0.0	0.01	0.005	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.645
AH	33	Pixel	TS	0.41	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.04	0.0	0.0	0.0	0.535
AH	43	Pixel	AH	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.01	0.0	0.0	0.08	0.0	0.0	0.0	0.335
AH	45	Pixel	AH	0.63	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.005	0.0	0.0	0.02	0.0	0.0	0.0	0.335
AH	47	Pixel	TS	0.285	0.0	0.005	0.005	0.01	0.01	0.01	0.0	0.005	0.0	0.0	0.01	0.015	0.035	0.0	0.0	0.025	0.0	0.0	0.0	0.585
AH	51	Pixel	TS	0.17	0.005	0.0	0.01	0.02	0.0	0.0	0.02	0.015	0.0	0.0	0.07	0.005	0.085	0.005	0.0	0.065	0.005	0.0	0.0	0.525
AH	61	Pixel	TS	0.25	0.0	0.005	0.005	0.02	0.015	0.01	0.0	0.01	0.005	0.005	0.015	0.01	0.075	0.01	0.025	0.045	0.005	0.0	0.005	0.485
AH	65	Pixel	TS	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.025	0.0	0.0	0.04	0.0	0.0	0.0	0.585
AH	68	Pixel	TS	0.31	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.005	0.005	0.005	0.0	0.095	0.0	0.0	0.0	0.565
AH	69	Pixel	TS	0.355	0.005	0.0	0.005	0.005	0.0	0.005	0.0	0.0	0.0	0.0	0.01	0.0	0.035	0.0	0.0	0.055	0.0	0.0	0.0	0.525
AH	70	Pixel	TS	0.105	0.0	0.0	0.01	0.005	0.0	0.0	0.005	0.0	0.0	0.0	0.015	0.005	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.815
AH	79	Pixel	TS	0.355	0.0	0.005	0.01	0.025	0.005	0.015	0.0	0.0	0.005	0.01	0.015	0.005	0.04	0.005	0.0	0.035	0.005	0.01	0.0	0.455
AH	80	Pixel	AH	0.525	0.0	0.0	0.005	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.005	0.015	0.0	0.0	0.04	0.005	0.0	0.0	0.385
AH	84	Pixel	TS	0.21	0.0	0.0	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.005	0.01	0.02	0.03	0.0	0.0	0.095	0.0	0.0	0.0	0.6
AH	93	Pixel	TS	0.255	0.005	0.0	0.01	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.005	0.02	0.0	0.0	0.0	0.695
AH	95	Pixel	AH	0.47	0.0	0.0	0.005	0.005	0.0	0.0	0.005	0.0	0.005	0.0	0.0	0.01	0.02	0.0	0.0	0.015	0.005	0.005	0.0	0.455
AH	96	Pixel	AH	0.33	0.01	0.0	0.01	0.01	0.01	0.005	0.015	0.005	0.01	0.0	0.03	0.005	0.05	0.005	0.01	0.155	0.005	0.0	0.005	0.33
AH	99	Pixel	TS	0.195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.025	0.0	0.0	0.075	0.0	0.0	0.0	0.7
AH	100	Pixel	TS	0.29	0.0	0.0	0.005	0.0	0.0	0.005	0.015	0.005	0.005	0.0	0.035	0.005	0.065	0.0	0.0	0.125	0.0	0.0	0.0	0.445
AH	106	Pixel	AH	0.48	0.0	0.0	0.015	0.02	0.0	0.005	0.0	0.0	0.0	0.005	0.0	0.005	0.02	0.005	0.0	0.03	0.0	0.0	0.0	0.415
AH	109	Pixel	TS	0.29	0.0	0.005	0.005	0.005	0.01	0.0	0.0	0.005	0.0	0.005	0.005	0.01	0.005	0.0	0.0	0.03	0.0	0.0	0.0	0.625
