label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	8	Pixel	AH	0.87	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.0	0.05
AH	12	Pixel	AH	0.955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.01
AH	17	Pixel	AH	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.035
AH	19	Pixel	AH	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.235
AH	23	Pixel	SA	0.2897142857142857	0.0	0.0	0.005	0.005	0.0	0.005	0.01	0.005	0.01	0.0	0.005	0.0	0.005	0.0	0.0	0.6267142857142857	0.005	0.005	0.0	0.023571428571428573
AH	26	Pixel	AH	0.755	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.075
AH	29	Pixel	TS	0.415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.57
AH	31	Pixel	AH	0.65	0.0	0.0	0.02	0.0	0.01	0.005	0.0	0.005	0.005	0.005	0.015	0.01	0.005	0.0	0.0	0.025	0.0	0.0	0.0	0.245
AH	33	Pixel	AH	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.08
AH	43	Pixel	AH	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.025
