label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	112	Xiaomi	AH	0.46	0.0	0.08	0.08	0.02	0.02	0.06	0.06	0.02	0.02	0.08	0.02	0.0	0.02	0.02	0.02	0.0	0.0	0.0	0.0	0.02
AH	113	Xiaomi	AH	0.48	0.02	0.08	0.06	0.0	0.02	0.02	0.04	0.04	0.02	0.02	0.02	0.02	0.04	0.02	0.02	0.0	0.0	0.02	0.02	0.04
AH	114	Xiaomi	AH	0.48	0.0	0.1	0.08	0.04	0.02	0.06	0.02	0.02	0.02	0.08	0.0	0.0	0.02	0.02	0.02	0.0	0.0	0.0	0.0	0.02
AH	115	Xiaomi	AH	0.5	0.0	0.08	0.08	0.02	0.02	0.04	0.0	0.04	0.02	0.04	0.0	0.06	0.04	0.02	0.02	0.0	0.0	0.0	0.0	0.02
AH	116	Xiaomi	AH	0.5	0.02	0.1	0.08	0.02	0.02	0.02	0.02	0.08	0.0	0.02	0.0	0.02	0.04	0.02	0.02	0.0	0.0	0.0	0.0	0.02
AH	117	Xiaomi	AH	0.5	0.0	0.12	0.08	0.02	0.0	0.06	0.04	0.02	0.02	0.04	0.0	0.0	0.02	0.02	0.04	0.0	0.0	0.0	0.02	0.0
AH	118	Xiaomi	AH	0.46	0.0	0.12	0.06	0.04	0.0	0.08	0.06	0.02	0.02	0.04	0.0	0.0	0.02	0.02	0.02	0.0	0.0	0.0	0.04	0.0
AH	119	Xiaomi	AH	0.44	0.0	0.1	0.06	0.04	0.02	0.06	0.04	0.02	0.02	0.04	0.02	0.0	0.02	0.02	0.02	0.0	0.0	0.02	0.04	0.02
AH	123	Xiaomi	AH	0.46	0.0	0.08	0.04	0.02	0.0	0.06	0.0	0.22	0.0	0.02	0.0	0.02	0.02	0.0	0.02	0.0	0.0	0.02	0.02	0.0
AH	124	Xiaomi	AH	0.48	0.0	0.14	0.04	0.06	0.0	0.06	0.0	0.02	0.02	0.04	0.0	0.0	0.02	0.02	0.02	0.0	0.0	0.02	0.04	0.02
AH	125	Xiaomi	AH	0.48	0.0	0.1	0.08	0.04	0.02	0.04	0.02	0.02	0.02	0.02	0.04	0.02	0.02	0.02	0.02	0.0	0.0	0.0	0.02	0.02
AT_CA	470	Xiaomi	AT_CA	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT_CA	471	Xiaomi	AT_CA	0.0	0.98	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT_CA	472	Xiaomi	AT_CA	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT_CA	473	Xiaomi	AT_CA	0.02	0.56	0.04	0.04	0.04	0.02	0.06	0.04	0.02	0.02	0.02	0.02	0.04	0.0	0.0	0.04	0.0	0.0	0.02	0.0	0.0
AT_CA	474	Xiaomi	AT_CA	0.0	0.8	0.0	0.06	0.04	0.0	0.02	0.0	0.0	0.0	0.02	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0
AT_CA	475	Xiaomi	AT_CA	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT_CA	476	Xiaomi	AT_CA	0.0	0.98	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT_CA	477	Xiaomi	AT_CA	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT_CA	478	Xiaomi	AT_CA	0.0	0.82	0.02	0.04	0.02	0.0	0.04	0.0	0.0	0.0	0.02	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0
AT_CA	482	Xiaomi	AT_CA	0.06	0.54	0.1	0.04	0.04	0.02	0.06	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.04	0.02	0.0	0.02	0.0	0.02
AT_CA	483	Xiaomi	AT_CA	0.0	0.38	0.04	0.04	0.38	0.02	0.06	0.02	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0
