label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	92	Pixel	TS	0.02	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.94
AH	93	Pixel	AH	0.84	0.0	0.0	0.0	0.0	0.02	0.0	0.02	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.02	0.04
AH	94	Pixel	AH	0.62	0.0	0.0	0.0	0.0	0.02	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.04	0.18
AH	95	Pixel	TS	0.34	0.0	0.0	0.0	0.02	0.0	0.02	0.0	0.0	0.0	0.0	0.02	0.0	0.04	0.0	0.02	0.02	0.0	0.02	0.02	0.48
AH	96	Pixel	TS	0.08	0.0	0.0	0.0	0.04	0.0	0.04	0.0	0.0	0.0	0.0	0.02	0.0	0.04	0.02	0.0	0.02	0.0	0.12	0.06	0.56
AH	97	Pixel	TS	0.32	0.0	0.0	0.0	0.02	0.02	0.0	0.02	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.02	0.0	0.12	0.02	0.44
AH	98	Pixel	TS	0.32	0.02	0.0	0.0	0.02	0.02	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0.0	0.0	0.0	0.04	0.0	0.06	0.02	0.44
AH	99	Pixel	DG	0.14	0.02	0.02	0.04	0.12	0.0	0.04	0.04	0.0	0.0	0.0	0.02	0.18	0.0	0.04	0.04	0.06	0.0	0.06	0.08	0.1
AH	100	Pixel	TS	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98
AH	101	Pixel	AH	0.46	0.0	0.02	0.0	0.0	0.02	0.0	0.04	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.04	0.28
AH	102	Pixel	AH	0.42	0.0	0.0	0.0	0.0	0.02	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.04	0.4
AH	103	Pixel	AH	0.72	0.0	0.0	0.0	0.02	0.0	0.0	0.02	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.02	0.04	0.0	0.06	0.02	0.08
AH	104	Pixel	AH	0.6	0.02	0.02	0.0	0.1	0.02	0.02	0.06	0.0	0.0	0.02	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.08	0.04	0.0
AH	105	Pixel	AH	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.02	0.04	0.0	0.06	0.02	0.16
AH	106	Pixel	AH	0.94	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0
AH	107	Pixel	SA	0.06	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.04	0.0	0.44
AT_CA	338	Pixel	DF	0.02	0.04	0.04	0.02	0.1	0.02	0.04	0.0	0.02	0.0	0.02	0.54	0.0	0.0	0.02	0.0	0.02	0.0	0.04	0.04	0.02
AT_CA	339	Pixel	CN	0.02	0.24	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.44	0.0	0.02	0.0	0.04	0.0	0.02	0.04	0.0	0.04	0.02	0.02
AT_CA	340	Pixel	AT_CA	0.02	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT_CA	341	Pixel	AT_CA	0.04	0.68	0.02	0.02	0.04	0.0	0.04	0.02	0.0	0.0	0.04	0.04	0.0	0.0	0.0	0.0	0.0	0.02	0.02	0.02	0.0
AT_CA	342	Pixel	AT_I2	0.08	0.02	0.02	0.02	0.2	0.0	0.06	0.06	0.0	0.0	0.02	0.08	0.0	0.04	0.02	0.1	0.02	0.02	0.06	0.12	0.06
AT_CA	343	Pixel	CN	0.0	0.06	0.0	0.02	0.08	0.0	0.0	0.02	0.0	0.5	0.04	0.02	0.0	0.02	0.02	0.02	0.02	0.02	0.06	0.06	0.04
AT_CA	344	Pixel	AT_I1	0.08	0.04	0.02	0.38	0.04	0.0	0.04	0.0	0.0	0.02	0.02	0.04	0.0	0.06	0.04	0.04	0.02	0.02	0.1	0.04	0.0
AT_CA	345	Pixel	AT_I1	0.02	0.22	0.02	0.32	0.02	0.0	0.02	0.0	0.0	0.02	0.02	0.02	0.0	0.06	0.04	0.02	0.04	0.0	0.1	0.04	0.02
AT_CA	346	Pixel	AT_CA	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT_CA	347	Pixel	AT_CA	0.02	0.6	0.0	0.02	0.02	0.0	0.04	0.0	0.0	0.0	0.04	0.04	0.0	0.0	0.0	0.0	0.18	0.0	0.02	0.02	0.0
AT_CH	293	Pixel	AT_CH	0.04	0.0	0.5	0.02	0.06	0.02	0.04	0.04	0.0	0.0	0.02	0.04	0.0	0.0	0.02	0.08	0.0	0.0	0.06	0.04	0.02
AT_CH	294	Pixel	DC	0.08	0.0	0.0	0.04	0.1	0.0	0.02	0.02	0.0	0.0	0.58	0.0	0.0	0.02	0.06	0.02	0.0	0.0	0.06	0.0	0.0
AT_CH	295	Pixel	SN	0.1	0.0	0.0	0.06	0.12	0.02	0.02	0.04	0.02	0.0	0.04	0.04	0.0	0.0	0.02	0.02	0.02	0.4	0.02	0.04	0.02
AT_CH	296	Pixel	SS	0.08	0.02	0.08	0.04	0.1	0.04	0.02	0.04	0.02	0.0	0.08	0.06	0.0	0.02	0.04	0.1	0.02	0.02	0.12	0.06	0.04
AT_CH	297	Pixel	AT_I2	0.02	0.0	0.02	0.04	0.54	0.02	0.04	0.04	0.0	0.0	0.02	0.02	0.0	0.02	0.04	0.06	0.02	0.02	0.02	0.06	0.0
AT_CH	298	Pixel	AT_I2	0.06	0.0	0.02	0.06	0.58	0.02	0.02	0.02	0.02	0.0	0.04	0.02	0.0	0.0	0.04	0.0	0.02	0.02	0.02	0.02	0.02
AT_CH	299	Pixel	AT_CH	0.08	0.0	0.54	0.02	0.1	0.02	0.0	0.04	0.0	0.0	0.02	0.02	0.0	0.0	0.02	0.02	0.0	0.02	0.06	0.04	0.0
AT_CH	300	Pixel	AT_CH	0.08	0.0	0.48	0.02	0.12	0.02	0.02	0.02	0.0	0.0	0.02	0.02	0.0	0.0	0.04	0.02	0.0	0.02	0.06	0.06	0.0
AT_CH	301	Pixel	AT_CH	0.02	0.0	0.74	0.04	0.04	0.02	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.02	0.04	0.04	0.0
AT_CH	302	Pixel	AT_CH	0.02	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0
AT_CH	303	Pixel	HA	0.06	0.04	0.02	0.02	0.12	0.02	0.02	0.0	0.0	0.0	0.0	0.04	0.0	0.02	0.04	0.46	0.02	0.0	0.06	0.06	0.0
AT_CH	304	Pixel	AT_CH	0.06	0.0	0.44	0.04	0.1	0.02	0.04	0.04	0.0	0.0	0.02	0.02	0.0	0.0	0.02	0.08	0.0	0.0	0.08	0.02	0.02
AT_CH	305	Pixel	CN	0.04	0.04	0.0	0.02	0.1	0.0	0.02	0.0	0.02	0.5	0.04	0.02	0.0	0.02	0.0	0.02	0.02	0.0	0.04	0.1	0.0
AT_I1	269	Pixel	HA	0.04	0.0	0.02	0.24	0.0	0.0	0.04	0.0	0.0	0.0	0.02	0.02	0.0	0.04	0.0	0.5	0.0	0.0	0.04	0.02	0.02
AT_I1	270	Pixel	AT_I2	0.14	0.02	0.04	0.0	0.16	0.02	0.08	0.02	0.0	0.0	0.04	0.04	0.0	0.04	0.04	0.1	0.02	0.0	0.12	0.1	0.02
AT_I1	271	Pixel	SS	0.14	0.02	0.04	0.04	0.14	0.0	0.06	0.02	0.02	0.0	0.02	0.04	0.0	0.04	0.04	0.06	0.02	0.0	0.2	0.08	0.02
AT_I1	272	Pixel	AT_I2	0.12	0.02	0.06	0.0	0.18	0.0	0.08	0.02	0.0	0.0	0.08	0.02	0.0	0.04	0.04	0.06	0.02	0.0	0.14	0.12	0.0
AT_I1	273	Pixel	DG	0.04	0.02	0.04	0.0	0.04	0.0	0.18	0.02	0.0	0.0	0.02	0.04	0.34	0.0	0.04	0.04	0.0	0.0	0.16	0.02	0.0
