label	time	source	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AH	8	Pixel	SA	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02	0.02	0.0	0.0	0.0	0.02	0.48	0.0	0.04	0.0	0.0
AH	12	Pixel	AH	0.56	0.0	0.02	0.0	0.02	0.0	0.02	0.02	0.0	0.0	0.04	0.04	0.0	0.02	0.02	0.02	0.0	0.0	0.12	0.04	0.06
AH	17	Pixel	TS	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02	0.0	0.02	0.02	0.0	0.02	0.02	0.5
AH	19	Pixel	TS	0.32	0.0	0.0	0.0	0.06	0.0	0.0	0.02	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.04	0.04	0.0	0.02	0.02	0.46
AH	23	Pixel	AH	0.46	0.0	0.02	0.02	0.04	0.02	0.0	0.04	0.06	0.02	0.06	0.02	0.0	0.0	0.02	0.04	0.02	0.0	0.12	0.02	0.02
AH	26	Pixel	TS	0.12	0.0	0.0	0.0	0.06	0.0	0.02	0.0	0.0	0.0	0.0	0.02	0.0	0.04	0.02	0.02	0.02	0.0	0.08	0.06	0.54
AH	29	Pixel	TS	0.32	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02	0.0	0.0	0.04	0.0	0.06	0.02	0.5
AH	31	Pixel	TS	0.32	0.0	0.0	0.0	0.04	0.02	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02	0.0	0.02	0.02	0.0	0.08	0.02	0.44
AH	33	Pixel	TS	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02	0.0	0.3	0.0	0.0	0.02	0.02	0.34
AH	43	Pixel	AH	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AH	45	Pixel	AH	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
