label	set	time	source	image	video	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
SS	test	0	Pixel	video_data/walk/Pixel/SS/0000_00000.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	ES	0.005205941	0.0015347117	6.818864e-05	0.017299207	0.00033243655	0.0010793378	0.00019487551	0.0020734167	0.00048471792	0.00017026968	0.00060845545	0.008546318	0.008986272	0.4129091	0.1355482	0.018746912	0.010381067	0.020471768	0.17557019	0.17410882	0.0056797443
SS	test	1	Pixel	video_data/walk/Pixel/SS/0001_00031.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SS	0.0035275677	1.3594537e-06	6.5193424e-05	8.9509136e-05	8.351588e-06	9.649518e-07	1.7437707e-05	6.465216e-05	3.4428904e-05	5.5464177e-05	0.0004182248	2.8039016e-05	1.2894965e-05	0.026311519	0.025225043	9.224181e-06	0.00021578377	0.00468691	0.7895389	0.14967589	1.258739e-05
SS	test	2	Pixel	video_data/walk/Pixel/SS/0002_00061.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	ES	0.003231773	7.111643e-05	0.00014342746	0.0034194624	0.00034601064	5.410945e-05	0.00010218875	0.0012804762	0.0002693143	0.0005659144	0.0049689696	0.0071741003	0.009853795	0.34619483	0.0030106925	0.00019045008	0.03265646	0.064664334	0.34430802	0.17715742	0.00033713446
SS	test	3	Pixel	video_data/walk/Pixel/SS/0003_00091.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	ES	0.017835341	1.9337562e-05	1.1253562e-05	1.2371636e-05	9.631155e-06	2.030212e-06	6.775818e-05	0.000106219966	0.00019296471	0.0025678992	0.00044352774	0.00015306444	0.0005550924	0.6525993	6.35621e-05	2.7323049e-05	0.008015889	0.00028870054	0.3123124	0.0032203053	0.0014961341
SS	test	4	Pixel	video_data/walk/Pixel/SS/0004_00121.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	ES	0.003547403	0.00010634939	3.2530268e-05	0.005847653	0.0003076434	0.0003642587	0.00016187715	0.0005348126	0.00017189058	0.002089972	0.0016026387	0.018132905	0.029062355	0.48862326	0.0009168984	0.0018128551	0.0074323793	0.02567168	0.31427255	0.09518282	0.0041252696
SS	test	5	Pixel	video_data/walk/Pixel/SS/0005_00151.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	TMA	0.052680533	0.00035094298	0.000105900086	0.0019235122	9.365921e-05	2.9853656e-05	0.00039376685	0.00014173942	4.1737134e-05	0.0062967967	0.097187884	0.000695613	0.03326497	0.06431852	0.01054002	0.00032175632	0.0025160625	0.15460296	0.27691215	0.2958396	0.001742073
SS	test	6	Pixel	video_data/walk/Pixel/SS/0006_00181.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SS	0.030930342	6.141929e-06	0.0007470299	4.658707e-05	5.6600725e-06	1.4486642e-06	0.0003072913	4.2667605e-05	0.0001240656	3.7919075e-05	0.00040173437	0.00013012832	1.1606705e-07	0.0032366235	0.00013340579	0.00017676328	8.037334e-05	0.18049064	0.7819737	0.00096008804	0.00016729691
SS	test	7	Pixel	video_data/walk/Pixel/SS/0007_00211.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SS	0.0011800537	0.00021592867	0.0001812799	0.00018804	5.781576e-06	3.626789e-06	0.00011416631	0.00012958888	7.058593e-05	1.4110865e-06	0.0005188207	2.6909338e-05	1.3045381e-07	0.0013793563	0.007880627	6.517282e-05	0.00015541891	0.00065288966	0.934821	0.05240538	3.712283e-06
SS	test	8	Pixel	video_data/walk/Pixel/SS/0008_00241.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	TMA	0.0104837995	2.9261762e-05	0.00018062475	0.0009697163	3.708609e-05	1.4377878e-06	3.3872689e-06	0.0005148187	0.00079215894	0.00025954048	0.00012471041	0.00077300024	0.0006008277	0.003506479	0.023946457	0.00015736936	0.0025376375	0.18553992	0.27515233	0.49433914	5.0286748e-05
SS	test	9	Pixel	video_data/walk/Pixel/SS/0009_00271.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SS	0.0001789387	1.0237133e-06	1.7902546e-05	3.3160104e-05	1.3685222e-07	2.0521934e-08	1.7759416e-05	2.2582074e-06	1.791451e-06	1.2094107e-06	5.161764e-06	1.1005789e-05	2.2183715e-07	0.0018736534	0.00016370881	4.798771e-05	2.5584975e-05	8.315924e-05	0.98587495	0.011622951	3.7393333e-05
SS	test	10	Pixel	video_data/walk/Pixel/SS/0010_00301.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SS	0.0006586405	3.0839385e-07	2.4548407e-07	8.259617e-08	7.7983947e-07	3.23558e-08	1.1930031e-07	1.8656823e-07	6.632737e-07	3.8497205e-07	1.2276276e-06	2.1523906e-06	1.41140815e-08	4.507778e-05	9.805149e-05	8.951766e-07	8.922952e-06	5.740977e-05	0.9981048	0.0010195961	3.8927678e-07
