label	set	time	source	image	video	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
SS	test	0	Xiaomi	video_data/walk/Xiaomi/SS/0000_00000.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	GL	0.0030183147	1.2177847e-05	0.0002478964	0.004115952	0.0024382377	8.7110835e-05	0.0012988563	0.00021378751	0.00014948435	5.7255922e-05	6.5002634e-05	0.00062397006	0.00019373879	0.0016868766	0.93962824	0.0014070269	0.004184584	0.018979311	0.0031061387	0.017942654	0.00054347125
SS	test	1	Xiaomi	video_data/walk/Xiaomi/SS/0001_00030.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.010123313	0.0002318409	0.0007665225	0.00459218	0.00026630392	0.0010423935	0.0005040138	0.0010458229	0.0020249295	0.00073613005	0.0016110536	0.04331891	0.018667657	0.19690111	0.00017427429	0.00076059805	0.02122219	0.016021842	0.27485478	0.38739666	0.017737497
SS	test	2	Xiaomi	video_data/walk/Xiaomi/SS/0002_00060.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	SS	0.038787723	4.171595e-06	0.0014610065	0.000846253	4.731858e-06	8.3843383e-07	5.1075855e-05	0.00016317377	0.00020092224	8.875868e-05	1.2145296e-05	0.0022018263	0.0002827635	0.013339744	0.03621331	0.00047151675	0.043714948	0.001972198	0.8570532	0.0006654426	0.0024642372
SS	test	3	Xiaomi	video_data/walk/Xiaomi/SS/0003_00090.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	SS	0.050156347	0.00045456702	0.0022994257	0.046963744	0.0031843088	0.0003623599	0.0006322514	0.0016108837	0.0005332927	0.0026675956	0.0030151505	0.0054489938	0.032473095	0.2855036	0.001127812	0.0011933291	0.011574044	0.020856012	0.3485293	0.17713761	0.004276324
SS	test	4	Xiaomi	video_data/walk/Xiaomi/SS/0004_00120.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	ES	0.023423212	0.00010900412	0.00041522016	0.0070821177	3.6118585e-05	0.00014730572	3.558576e-05	0.0008622721	0.0015100571	0.0004089144	9.0281785e-05	0.00034771825	0.00048926007	0.60880905	0.028727101	2.2812796e-05	0.0027523113	0.0038922697	0.1753301	0.14367905	0.0018302962
SS	test	5	Xiaomi	video_data/walk/Xiaomi/SS/0005_00150.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	ES	0.0067403894	7.3219795e-05	0.00026548907	0.0011870526	0.0005443192	0.0009962746	0.0024242096	0.0039569493	8.44731e-05	0.00024685112	0.0008803373	0.0002808451	0.0009799196	0.6490362	0.0027634746	9.339873e-05	0.0001779466	0.0039106817	0.15851745	0.16621552	0.0006250449
SS	test	6	Xiaomi	video_data/walk/Xiaomi/SS/0006_00180.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	ES	0.004519807	9.5699565e-05	0.0003131287	0.0017627309	0.0007790658	0.0015000843	0.02708691	0.015960922	0.00013005102	0.000713278	0.016709873	0.00043136734	0.00040831266	0.50638616	0.0025841298	7.1714625e-05	0.00017552183	0.028270198	0.18497133	0.20659055	0.0005391778
SS	test	7	Xiaomi	video_data/walk/Xiaomi/SS/0007_00210.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	ES	0.023039764	0.000645637	0.00022435073	0.005055568	0.0005783899	0.00012335255	0.0015240869	0.0008187432	0.00026630014	0.0004381593	0.017310148	0.0017735743	0.013337705	0.3694036	0.0008244948	0.00044249737	0.003959505	0.049847636	0.31135133	0.18915614	0.009879041
SS	test	8	Xiaomi	video_data/walk/Xiaomi/SS/0008_00240.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.029463083	0.00012378539	1.3750009e-05	0.006959389	2.034619e-05	0.0003025227	4.0006085e-05	0.00087586115	0.0006152599	0.0033863867	0.023099706	0.046408214	0.03350355	0.2619512	0.00016572261	9.298323e-05	0.0558966	0.09152989	0.015614328	0.33267173	0.09726568
SS	test	9	Xiaomi	video_data/walk/Xiaomi/SS/0009_00270.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.010440559	0.00036284458	0.00014528449	0.0017763666	5.201624e-05	4.669917e-06	0.0002478146	0.00021399939	0.00027915154	0.0014498372	0.011428333	0.0036998675	0.042856056	0.026608031	0.018157616	0.0015589189	0.029199999	0.02838705	0.03369389	0.784912	0.004525726
