label	set	time	source	image	video	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AT_CH	test	2	Pixel	video_data/AT_CH/test_Pixel_0002_0061.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	AT_CH	5.908953e-07	8.0293006e-08	0.99981517	4.999444e-05	3.952059e-05	1.7807384e-08	2.5667967e-07	1.927282e-06	2.0509193e-05	4.058942e-05	1.9077635e-07	7.5567215e-07	1.7018465e-07	6.3623366e-07	2.618572e-08	2.6841397e-07	2.6379865e-05	2.4993585e-07	9.877126e-07	1.5102472e-06	1.6469728e-07
AT_CH	test	6	Pixel	video_data/AT_CH/test_Pixel_0006_0181.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	AT_CH	1.4919098e-07	2.191938e-08	0.99998856	1.674468e-07	7.5794264e-07	3.1464052e-07	8.378642e-09	2.2721547e-07	1.8886587e-06	3.8578014e-06	1.21738895e-08	2.3089926e-07	3.0580514e-09	7.061101e-08	4.9309125e-07	4.2609804e-07	8.001973e-09	5.1921523e-07	2.0197333e-06	2.999204e-07	2.5566978e-08
AT_CH	test	8	Pixel	video_data/AT_CH/test_Pixel_0008_0241.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	ES	0.0039200443	0.00014288562	0.09216468	0.0006726838	0.000924872	0.000109564135	0.0014399859	0.0013621459	0.00037211145	0.021291226	0.0023347859	0.00085834536	0.37099034	0.4255016	3.7702634e-05	0.0058028335	0.005079055	0.010749962	0.008218165	0.037715737	0.010311224
AT_CH	test	10	Pixel	video_data/AT_CH/test_Pixel_0010_0301.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	AT_CH	0.0007750082	0.00024337854	0.5125783	0.0021922356	0.020733405	0.0001793235	0.04040029	0.0012802548	0.015539394	0.093187	0.0015645707	0.023966443	0.0017335131	0.06873674	1.5697173e-05	0.0034354785	0.03151803	0.05336163	0.0036479062	0.083959475	0.040951904
AT_CH	test	13	Pixel	video_data/AT_CH/test_Pixel_0013_0391.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	AT_CH	2.51248e-09	4.360752e-09	0.99999106	1.04166254e-07	6.1532696e-06	2.057537e-09	1.33324916e-08	8.391361e-09	7.6323386e-07	3.2662214e-07	4.885573e-09	1.2281161e-07	5.4954322e-11	8.044682e-07	1.5053837e-09	2.2430924e-09	6.053402e-10	6.75759e-07	6.5061795e-10	1.8907775e-08	7.3804767e-09
AT_CH	test	16	Pixel	video_data/AT_CH/test_Pixel_0016_0481.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	AT_CH	2.3275718e-06	1.4260349e-05	0.9988458	3.739912e-06	0.0003144883	4.88925e-06	1.8065632e-05	4.7881394e-06	0.00031610843	0.00029129104	2.1059745e-06	1.7550334e-05	1.8003423e-07	7.084004e-05	1.2198088e-06	1.45726235e-05	1.27257135e-05	1.3052467e-05	2.5456359e-06	4.8884034e-05	4.426407e-07
AT_CH	test	17	Pixel	video_data/AT_CH/test_Pixel_0017_0511.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	AT_CH	2.6914375e-07	2.9863753e-07	0.999943	1.5212645e-07	5.5665796e-06	2.525586e-07	1.8606713e-08	1.3053411e-06	1.79117e-05	2.2830138e-05	3.2687204e-08	6.658546e-07	3.9396124e-08	2.0114492e-06	2.4918143e-07	6.1815206e-07	7.1069326e-07	2.9550137e-07	5.113719e-07	3.3093872e-06	2.8526062e-08
AT_CH	test	23	Pixel	video_data/AT_CH/test_Pixel_0023_0691.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	AT_CH	1.9246772e-05	4.6149935e-06	0.99066484	6.143142e-06	5.5659613e-05	2.4605624e-06	6.408179e-05	7.788837e-06	6.4577485e-05	0.008415952	1.51072945e-05	1.8684164e-05	3.0633903e-06	2.3314862e-05	1.1199278e-06	3.3038268e-05	4.629381e-06	6.0848266e-05	2.013893e-06	0.0002706781	0.00026219766
AT_CH	test	31	Pixel	video_data/AT_CH/test_Pixel_0031_0931.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	AT_CH	1.39962415e-08	3.7905337e-09	0.9999957	7.4082706e-08	2.3131615e-07	7.849593e-09	7.359257e-09	9.046005e-08	9.3320926e-07	1.8318894e-06	6.453818e-10	1.3804557e-08	4.083153e-11	7.168068e-08	4.975811e-09	1.3899725e-08	4.6942206e-09	1.8761723e-08	2.1191395e-08	4.2136804e-08	9.062865e-07
AT_CH	test	36	Pixel	video_data/AT_CH/test_Pixel_0036_1081.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	AT_CH	1.4112955e-07	5.4563582e-08	0.99993014	2.8711315e-06	2.1470716e-05	3.3458022e-07	5.982314e-08	3.4197635e-07	9.394023e-06	2.3257486e-05	8.504642e-08	1.6591116e-06	1.4357114e-08	7.904154e-07	2.9568149e-08	1.8874699e-06	6.272891e-08	3.0333564e-07	3.3458565e-07	2.2331612e-07	6.504084e-06
