label	set	time	source	image	video	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
SS	test	0	Xiaomi	video_data/walk/Xiaomi/SS/0000_00000.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	GL	0.0011655015	7.725084e-05	4.8415182e-05	0.004067579	0.00073433056	0.00022989779	9.547774e-06	1.9935378e-05	0.00031309127	0.00010253483	0.00022174028	0.0001330955	0.0007600897	0.018788073	0.9429653	0.00019278066	0.0080948835	0.0043407264	0.0014279847	0.01624173	6.5548295e-05
SS	test	1	Xiaomi	video_data/walk/Xiaomi/SS/0001_00030.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.029378038	0.00065333716	0.0002022453	0.005043312	0.00046565698	0.00074329023	0.00016200077	5.128389e-05	0.0020647342	0.0010419828	0.009178334	0.016824467	0.052576028	0.028032152	0.00013069584	0.0001222058	0.0038998947	0.00502103	0.26698044	0.5616883	0.015740518
SS	test	2	Xiaomi	video_data/walk/Xiaomi/SS/0002_00060.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	SS	0.026708163	1.8529946e-07	4.7122057e-06	3.8037065e-06	1.3119848e-06	1.4817377e-06	1.6316885e-07	0.00019626111	1.5716521e-05	7.729155e-08	1.7902647e-06	3.9060847e-05	1.3693619e-06	0.021361442	0.0003762961	1.44937685e-05	4.312124e-05	5.4938537e-06	0.95042276	0.00080047303	1.7604531e-06
SS	test	3	Xiaomi	video_data/walk/Xiaomi/SS/0003_00090.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	SS	0.0034382327	0.0001230002	0.00052260456	0.0028375862	0.0003823313	0.000643139	9.82939e-05	0.00015945411	0.0007179603	3.7577145e-05	0.00028491992	5.6662197e-05	0.0002977089	0.0756941	0.0010387491	7.336025e-05	0.0013916936	0.002085854	0.8538677	0.05605136	0.00019772825
SS	test	4	Xiaomi	video_data/walk/Xiaomi/SS/0004_00120.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	SS	0.031605642	0.0001346145	0.00018445827	0.0021099395	0.00041296057	0.00090633816	1.9421914e-05	0.00013028446	0.00087044225	2.1609814e-05	6.467213e-05	0.00013057528	0.0002580613	0.16188231	0.0016356055	0.00016475894	0.0013439349	0.004527606	0.62082773	0.17235602	0.00041301848
SS	test	5	Xiaomi	video_data/walk/Xiaomi/SS/0005_00150.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.03421534	6.209991e-05	7.2352435e-05	0.00032928394	9.606755e-05	0.0001098841	9.947469e-06	1.216758e-05	0.00028829658	0.0001234724	0.00010129855	0.00084060186	0.004500405	0.084765285	0.00063717377	1.5966369e-05	0.0035388903	0.0018530402	0.0048101745	0.8571441	0.0064740377
SS	test	6	Xiaomi	video_data/walk/Xiaomi/SS/0006_00180.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.00044396438	3.8299524e-05	1.174592e-05	0.00031899064	4.5965524e-05	7.2755697e-06	1.198889e-05	1.5252255e-06	2.1034015e-05	3.1334315e-05	0.00022393081	0.0005473551	0.0040612062	0.0016668626	0.00019833891	2.0185167e-05	0.00028831183	0.002006031	0.0012140211	0.9884688	0.00037287845
SS	test	7	Xiaomi	video_data/walk/Xiaomi/SS/0007_00210.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.004266453	0.000387572	0.0002715222	0.0031366223	0.00011996394	0.00020227215	0.0005193565	6.584563e-05	0.00017998196	0.0001576952	0.0023510326	0.0019513414	0.063123606	0.023710405	0.0001593152	0.00031186632	0.007136033	0.018404974	0.04274326	0.82833374	0.0024671515
SS	test	8	Xiaomi	video_data/walk/Xiaomi/SS/0008_00240.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.031988204	0.0010073755	7.537295e-05	0.0036189905	7.366114e-05	0.00091661804	0.00011889128	3.50591e-05	0.00012573168	0.0018550862	0.0016263583	0.0051059388	0.2437712	0.011579841	6.1950814e-05	0.0014706604	0.01695652	0.056068473	0.05491814	0.53786653	0.030759513
SS	test	9	Xiaomi	video_data/walk/Xiaomi/SS/0009_00270.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	AH	0.3148487	9.984832e-05	0.0008684147	0.00035302644	7.204099e-05	2.3897686e-05	0.0014473103	5.5808607e-05	0.0001206463	0.0017770893	0.005801742	0.053664412	0.0132653285	0.08803612	0.0112472065	0.0015256118	0.0035075203	0.04296853	0.17771612	0.24955916	0.033041522
SS	test	10	Xiaomi	video_data/walk/Xiaomi/SS/0010_00300.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	SS	0.00047613046	0.0010996172	4.227722e-05	4.3910368e-05	1.7224094e-06	3.8983476e-06	2.1120272e-06	8.414263e-05	8.1028214e-05	0.0008239088	0.00077222195	2.595385e-05	7.658421e-08	0.0006168162	0.00019488274	6.436551e-06	1.9496836e-05	0.0028407094	0.9924103	0.00043036076	2.3997964e-05
SS	test	11	Xiaomi	video_data/walk/Xiaomi/SS/0011_00330.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	SS	4.6487054e-05	2.449796e-09	1.7599172e-07	9.165067e-10	4.241786e-07	1.8893699e-08	1.4412907e-08	1.9755186e-09	1.7473725e-07	1.5791733e-11	1.1872202e-09	1.0675317e-08	1.7238076e-13	7.846306e-06	9.3804744e-07	3.825737e-07	7.319495e-11	5.323804e-10	0.9970668	0.0028765737	7.912372e-08
SS	test	12	Xiaomi	video_data/walk/Xiaomi/SS/0012_00360.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	SS	0.0019184342	0.00038469097	0.003390513	3.127376e-05	0.0013465298	0.000296182	0.0014724395	0.00011132807	0.005934067	1.2753804e-07	0.0052762507	0.00016017945	3.7084715e-07	0.2274942	0.002186923	0.005047231	2.9927018e-05	0.0006935944	0.5451231	0.19908813	1.4585388e-05
SS	test	13	Xiaomi	video_data/walk/Xiaomi/SS/0013_00390.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	SS	0.025448654	1.7795133e-05	0.0009322182	7.8888826e-07	1.6416345e-05	2.2720492e-06	8.452434e-06	0.00013279732	0.00028872193	0.0002504043	9.3165516e-05	0.0009306983	0.00097034243	0.11147149	1.0018481e-05	5.0218106e-05	0.015619102	0.00068424107	0.7763898	0.06664374	3.879711e-05
SS	test	14	Xiaomi	video_data/walk/Xiaomi/SS/0014_00420.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.0011350783	4.2501833e-07	1.6257842e-05	2.1605783e-05	3.1814614e-07	4.6776907e-07	2.734925e-07	1.5452896e-06	0.00010674082	1.2122959e-05	5.0740823e-06	0.0010972468	1.8759472e-07	0.0012500022	2.4757077e-07	7.1152845e-06	4.0496416e-06	5.8538944e-06	0.3226759	0.67365813	1.3751064e-06
SS	test	15	Xiaomi	video_data/walk/Xiaomi/SS/0015_00450.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	SS	0.0007793884	6.838154e-11	7.968563e-08	2.9147912e-10	6.51157e-08	3.2022198e-09	1.5439927e-08	2.005611e-09	1.9158126e-09	1.5453701e-10	3.2518147e-10	1.5230204e-09	6.195708e-14	0.0003060192	6.33561e-07	3.1901979e-09	1.1798929e-09	8.9564205e-09	0.9982887	0.0006251085	1.09296865e-08
SS	test	16	Xiaomi	video_data/walk/Xiaomi/SS/0016_00480.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	SS	0.00060155	4.4330257e-13	5.0927723e-10	3.3972316e-14	1.7467993e-09	4.5899607e-11	9.183834e-14	8.819266e-10	4.9259995e-11	2.026637e-15	4.7986437e-12	2.434656e-12	7.185677e-17	1.725289e-06	6.0733704e-08	1.0408406e-11	3.5076967e-12	1.3151622e-13	0.99939644	1.718726e-07	4.6419313e-11
SS	test	17	Xiaomi	video_data/walk/Xiaomi/SS/0017_00509.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	SS	6.54018e-05	1.266588e-11	5.1069753e-09	1.3219882e-12	2.9202667e-07	1.2393911e-09	7.462968e-11	2.3015954e-09	3.8810616e-10	9.641075e-13	1.3047853e-09	1.4567868e-10	3.4186057e-16	0.00010374573	2.165309e-06	1.1205912e-10	6.561003e-12	1.3058825e-10	0.99982494	3.5116184e-06	1.0528817e-08
SS	test	18	Xiaomi	video_data/walk/Xiaomi/SS/0018_00539.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	SS	0.022643037	9.4192785e-08	1.0578524e-06	1.0041732e-08	3.8273625e-05	9.1528065e-08	1.3475852e-07	6.5872314e-07	0.00012143651	4.661236e-08	1.7050997e-06	0.00020725954	7.856045e-09	0.008260439	8.0987e-09	9.599098e-06	5.5034106e-06	3.79951e-08	0.96778965	0.00091077783	1.0200203e-05
SS	test	19	Xiaomi	video_data/walk/Xiaomi/SS/0019_00569.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.01711372	0.00017876978	0.00017530938	0.0021985024	0.0001436499	0.0003455006	0.00022439654	0.00015011031	4.552677e-05	0.0013216508	0.0009568009	0.00190952	0.2999914	0.09659588	1.5647558e-05	0.0008130702	0.02578716	0.021552317	0.08498134	0.434263	0.011236805
SS	test	20	Xiaomi	video_data/walk/Xiaomi/SS/0020_00599.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	4.0410734e-05	3.0359583e-05	0.00013311507	0.00045572573	1.5180713e-05	9.29812e-06	1.9894967e-05	7.97513e-06	2.8932916e-06	0.00010366576	7.55293e-05	0.00011345939	0.00046217983	0.00065676536	7.392521e-06	1.1054942e-05	7.4586314e-05	0.0016903875	0.003311187	0.99267113	0.00010775629
TMA	test	21	Xiaomi	video_data/walk/Xiaomi/TMA/0021_00629.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	2.184369e-05	2.9312438e-05	0.00018021907	0.0010472375	6.527281e-05	5.183027e-05	1.2323301e-05	1.8670396e-05	1.0678872e-05	0.00026342855	0.00017633245	0.0006062738	0.001114813	0.00026562886	1.5353419e-06	4.0055347e-05	0.00016595672	0.0002854607	0.0011060172	0.99405104	0.0004860947
TMA	test	22	Xiaomi	video_data/walk/Xiaomi/TMA/0022_00659.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	7.460275e-06	8.533114e-06	2.4150413e-05	0.00013011118	2.8580557e-06	7.412334e-06	1.6518234e-06	1.422297e-06	2.0811065e-06	2.5636953e-05	0.0001096089	2.4468856e-05	7.423706e-05	0.00017723121	5.1899514e-07	2.509947e-06	8.887319e-05	1.4648888e-05	0.00026853787	0.9990176	1.0445673e-05
TMA	test	23	Xiaomi	video_data/walk/Xiaomi/TMA/0023_00689.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	8.100648e-06	5.072071e-06	1.8647339e-05	2.8853536e-05	5.0716328e-05	3.009819e-05	6.3344733e-06	2.0356472e-06	2.9748771e-06	6.126121e-05	0.00039735314	0.0002606651	7.551581e-05	0.00021667701	4.750513e-06	6.1765923e-06	0.00016844354	1.6773665e-05	0.00038416972	0.9982121	4.330367e-05
TMA	test	24	Xiaomi	video_data/walk/Xiaomi/TMA/0024_00719.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	1.3124347e-05	7.2805306e-05	0.00011875357	0.0017042537	3.9405182e-05	3.288127e-05	4.3450284e-05	3.120625e-06	9.4267525e-06	0.00015260771	0.0002827306	0.0006801362	0.00075782876	0.00095471746	2.3425332e-06	7.7409335e-05	8.7280176e-05	5.265297e-05	0.00073541666	0.99407405	0.00010567823
TMA	test	25	Xiaomi	video_data/walk/Xiaomi/TMA/0025_00749.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	6.188725e-05	0.00025795976	0.00028204985	0.0014748652	9.432145e-05	0.00016243475	0.00012540353	1.1849117e-05	2.2058584e-05	0.0055128303	0.0006158913	0.0030656261	0.08420204	0.006949624	5.008761e-06	0.0012000174	0.0023426702	0.0010436875	0.0024097993	0.8828301	0.0073299087
TMA	test	26	Xiaomi	video_data/walk/Xiaomi/TMA/0026_00779.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.00017936438	0.0003624309	0.00034867058	0.00041678685	0.00022586162	0.00023646449	0.0004145226	1.3700448e-05	2.6611366e-05	0.0068852482	0.0008124543	0.0036985918	0.08572053	0.008942071	1.40737275e-05	0.0026007032	0.0023747527	0.0034813585	0.005286928	0.87171984	0.0062390086
TMA	test	27	Xiaomi	video_data/walk/Xiaomi/TMA/0027_00809.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.00016926108	0.00027926077	5.021397e-05	0.0014965092	0.00018443142	5.648703e-05	0.000113068	9.699914e-06	9.629653e-06	0.00055133435	8.497575e-05	0.00013300183	0.028793968	0.0016827782	6.0466273e-06	0.0003454026	0.0027344932	0.0006385148	0.0009921264	0.96140033	0.00026848153
TMA	test	28	Xiaomi	video_data/walk/Xiaomi/TMA/0028_00839.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.00022814203	0.0002453564	0.00028629156	0.0019799192	0.0018778187	5.245851e-05	0.00019541921	3.8124548e-05	2.0533786e-05	0.0026469121	0.0014650348	0.000191959	0.07669112	0.006884345	4.638055e-05	3.1519485e-05	0.004629512	0.0037629998	0.0002943289	0.8983187	0.00011315574
TMA	test	29	Xiaomi	video_data/walk/Xiaomi/TMA/0029_00869.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.00065878103	0.00026016124	0.00025265256	8.931588e-05	6.543513e-05	3.7508176e-05	0.0007894354	4.770526e-06	1.8951157e-06	0.003791763	0.0019853076	3.8342805e-05	0.32160598	0.027159324	0.00010390481	3.0000476e-05	7.626577e-05	0.0012205852	0.002434938	0.6390453	0.0003483448
TMA	test	30	Xiaomi	video_data/walk/Xiaomi/TMA/0030_00899.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.0007064811	1.5803618e-06	9.7677e-08	5.015545e-06	1.830763e-07	9.90668e-07	7.5856383e-07	3.5621886e-06	7.967674e-06	1.7724695e-05	3.2860902e-05	0.00012844514	0.00012592608	0.04855247	2.7696105e-05	0.00012296643	0.00059095706	0.0016243013	1.0336042e-05	0.9479284	0.000111317866
TMA	test	31	Xiaomi	video_data/walk/Xiaomi/TMA/0031_00929.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	DG	0.26472482	3.8893962e-05	5.7739777e-05	0.00037218447	1.6803176e-06	2.5561441e-05	7.6215733e-06	0.0006046067	3.8376806e-05	0.0012998123	0.001242769	0.00081857294	0.63410753	0.025776831	3.3908807e-05	9.5403375e-05	0.0126327155	0.003948237	0.0016837161	0.050130617	0.0023583565
TMA	test	32	Xiaomi	video_data/walk/Xiaomi/TMA/0032_00959.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.01981598	0.00064170896	0.0012092183	0.0011552545	7.625179e-05	0.00019435064	0.00029092925	0.00066107966	0.0004601774	0.0024081764	0.011502421	0.00078320655	0.05145917	0.19813736	0.0003108804	0.0013024303	0.02347902	0.0015327984	0.0046531702	0.67936856	0.00055787846
TMA	test	33	Xiaomi	video_data/walk/Xiaomi/TMA/0033_00989.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.0022735263	1.3632009e-05	0.0004183364	1.2126791e-05	0.00029305587	4.050014e-06	0.00012688538	8.547759e-05	3.356022e-05	7.3770693e-06	0.0015414553	2.0377856e-05	8.859264e-06	0.016857486	0.0019398195	4.1240197e-05	0.0067979386	2.4076258e-05	0.0018782415	0.9675513	7.120734e-05
TMA	test	34	Xiaomi	video_data/walk/Xiaomi/TMA/0034_01018.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.007786821	5.374928e-05	0.0001394823	0.002913428	5.3131216e-06	0.0002957085	7.2815037e-06	8.461169e-05	9.975598e-05	0.0006943615	0.00111023	0.00018132497	0.0031955023	0.03335388	0.0010992393	7.5241056e-05	0.00013851967	0.0021658544	0.0058461563	0.9407402	1.3355097e-05
TMA	test	35	Xiaomi	video_data/walk/Xiaomi/TMA/0035_01048.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.0006542463	7.2370785e-06	2.4520714e-05	2.6050027e-06	1.9011047e-06	2.8572733e-06	9.659433e-06	6.3955736e-06	1.9803358e-05	3.5782756e-07	1.6341788e-06	2.6185728e-06	6.514078e-05	0.024517566	0.0008096804	1.8073959e-05	4.639509e-05	7.585939e-05	0.009808929	0.963912	1.2677204e-05
TMA	test	36	Xiaomi	video_data/walk/Xiaomi/TMA/0036_01078.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.00018976652	4.486825e-06	2.0481537e-05	1.18464115e-07	3.8486579e-07	1.2407755e-06	1.0999781e-06	3.2521664e-06	1.6400376e-05	2.721331e-07	3.727428e-05	2.6136266e-07	5.162357e-05	0.016419886	0.00010370004	2.6466669e-06	4.2103125e-05	8.208869e-06	0.00082480744	0.9822713	6.528184e-07
TMA	test	37	Xiaomi	video_data/walk/Xiaomi/TMA/0037_01108.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.002489462	0.00031831808	0.0001828585	7.019775e-05	0.0001275019	0.0018905757	0.00015107734	1.4123869e-05	2.1139647e-05	0.00093186076	0.0036777547	9.068435e-06	0.00029578165	0.13959865	0.0010991504	1.6781169e-05	0.0010941158	0.00059524144	0.012509531	0.8344573	0.00044954816
TMA	test	38	Xiaomi	video_data/walk/Xiaomi/TMA/0038_01138.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.00048895157	2.9009282e-08	5.124302e-07	1.3345999e-07	4.45706e-06	5.4821123e-07	2.9711055e-07	7.594527e-07	2.3917644e-07	1.4516004e-05	2.5051379e-05	2.501945e-06	9.2669296e-07	0.005212244	8.9793794e-08	7.0693994e-07	1.199784e-05	8.592626e-06	0.00015262842	0.9940743	5.3570506e-07
TMA	test	39	Xiaomi	video_data/walk/Xiaomi/TMA/0039_01168.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	ES	0.00418064	0.0008087511	0.0003335715	7.736688e-05	0.0010681213	0.00020477215	0.0035642888	0.00024082723	6.650091e-05	0.024962576	0.0020818084	0.000106526066	0.062235955	0.7890403	0.00014038115	0.0023628275	0.0054256297	0.006946001	0.014866459	0.07621408	0.005072632
TMA	test	40	Xiaomi	video_data/walk/Xiaomi/TMA/0040_01198.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.00035333532	0.0032950433	0.0006545161	0.0020796712	0.00069812697	9.352664e-05	0.001177883	0.000199608	7.8857796e-05	0.0036014668	0.095514536	0.007524291	0.31185022	0.008400497	0.00016339046	2.838433e-06	0.0057760947	0.00041771392	1.0186031e-05	0.5579381	0.00017005044
