label	set	time	source	image	video	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
AT_CH	test	2	Pixel	video_data/AT_CH/test_Pixel_0002_0061.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	AT_CH	6.1577695e-05	8.0875674e-07	0.99483263	0.0023597544	0.0010262529	0.00010746357	0.0003988745	0.00015184032	0.00014640392	7.52369e-05	0.0005094973	0.00016674346	6.040221e-11	3.4498727e-05	5.82539e-07	3.375119e-05	8.863688e-05	9.101487e-07	1.7585274e-09	2.8275513e-06	1.7418341e-06
AT_CH	test	6	Pixel	video_data/AT_CH/test_Pixel_0006_0181.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	AT_CH	1.2380062e-12	3.4989722e-12	0.99999964	1.1617111e-12	4.5699877e-10	5.2818673e-11	2.587133e-10	1.383314e-10	4.2523304e-08	9.6989694e-08	7.9111576e-13	1.3385038e-07	3.7992061e-16	2.2908122e-08	2.2616488e-13	1.4903208e-09	2.6963395e-12	1.1235657e-09	3.8916028e-12	7.176235e-08	7.382166e-11
AT_CH	test	8	Pixel	video_data/AT_CH/test_Pixel_0008_0241.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	DG	0.01996451	0.00034670363	0.050624367	0.0031102255	9.949561e-05	3.877721e-05	8.043342e-05	0.00017426588	0.00015655677	0.08082925	0.003783944	0.0032070302	0.77242243	0.0116191665	2.091717e-06	0.0015896464	0.03618014	0.0050779306	0.00032423885	0.001863035	0.008505799
AT_CH	test	10	Pixel	video_data/AT_CH/test_Pixel_0010_0301.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	AT_CH	0.00034832247	0.00056954974	0.84678227	0.00024032657	0.019307872	0.00029764322	0.0029631152	5.0999726e-05	0.0026152346	0.0580144	0.00011821309	0.005779591	0.0010259475	4.6292826e-05	7.025606e-08	0.00037625592	0.0070351004	4.316768e-05	8.697579e-05	0.053603027	0.0006955715
AT_CH	test	13	Pixel	video_data/AT_CH/test_Pixel_0013_0391.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	AT_CH	1.535023e-10	1.2291215e-09	0.99999964	5.7087353e-09	1.3238828e-07	1.0330773e-09	3.5643632e-09	4.0607226e-08	4.7095497e-08	1.3030738e-08	1.4908476e-08	1.1919667e-09	2.0069436e-15	3.991288e-09	1.82079e-13	4.016679e-10	3.0268277e-11	1.9984734e-09	1.9273541e-12	2.2080351e-10	2.6387774e-11
AT_CH	test	16	Pixel	video_data/AT_CH/test_Pixel_0016_0481.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	AT_CH	9.335559e-09	3.1509424e-07	0.9995652	3.055166e-07	2.989287e-05	2.865539e-07	0.0003289689	5.8457725e-05	1.1566868e-05	3.551715e-07	4.783728e-07	5.893115e-07	1.3341829e-14	1.229789e-07	1.4057596e-08	2.3617747e-07	1.8257579e-08	3.0739054e-07	2.704416e-08	2.8614584e-06	3.9916057e-11
AT_CH	test	17	Pixel	video_data/AT_CH/test_Pixel_0017_0511.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	AT_CH	1.507176e-10	4.9113633e-11	0.9999912	4.8282184e-10	4.3284396e-07	6.11665e-08	2.8304635e-07	4.5554425e-06	7.7114485e-08	1.7279346e-08	2.0698565e-10	7.7613684e-08	1.2981431e-16	5.04022e-07	6.5744467e-12	2.7252213e-06	1.1220207e-09	2.0067144e-09	1.11347966e-10	1.5005753e-07	9.257471e-10
AT_CH	test	23	Pixel	video_data/AT_CH/test_Pixel_0023_0691.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	AT_CH	2.3401215e-07	1.1263301e-05	0.9944707	2.256896e-06	0.00040226674	2.0809222e-07	0.0002291447	2.2176499e-07	1.7652308e-05	0.004108064	0.00011431515	6.239467e-05	1.7370854e-06	1.9093916e-06	4.870181e-09	2.018283e-05	2.5410664e-06	0.00019908283	3.5071388e-08	0.0003543376	1.5624596e-06
AT_CH	test	31	Pixel	video_data/AT_CH/test_Pixel_0031_0931.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	AT_CH	1.3445867e-09	1.829024e-08	0.9999963	2.185355e-08	4.343928e-07	1.5074276e-07	3.485405e-07	3.6405023e-08	1.0385885e-06	7.7140953e-07	5.3077387e-09	1.4150305e-07	2.8633457e-11	4.954699e-07	5.6974956e-11	1.7978801e-09	2.2337146e-10	1.2163291e-07	9.2330427e-10	7.551596e-08	4.1655934e-08
AT_CH	test	36	Pixel	video_data/AT_CH/test_Pixel_0036_1081.jpeg	../dados_indoor_location/Pixel/Vision/1218268340520551_atrio_a_que_cheira.mp4	AT_CH	2.3780342e-11	1.2263216e-09	0.99999833	1.1178398e-09	3.0261228e-07	2.171062e-09	9.2099725e-07	3.5907608e-08	2.2943873e-07	2.1352618e-07	2.1713675e-10	3.8285966e-09	1.9361374e-14	1.6008804e-09	1.6800691e-12	2.4373512e-10	6.45288e-12	2.0342611e-08	4.5372706e-11	1.9056126e-09	1.1333066e-11
