label	set	time	source	image	video	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
SS	test	0	Pixel	video_data/walk/Pixel/SS/0000_00000.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SS	0.00025920925	4.7564365e-05	2.389509e-05	0.06765671	0.0019846498	0.037269525	0.006287563	0.0011151073	0.00018944306	0.0011872356	0.0033718091	0.0021145698	0.023989303	0.018213414	0.006394705	0.010531142	0.09085247	0.0091341045	0.6400651	0.07505636	0.00425611
SS	test	1	Pixel	video_data/walk/Pixel/SS/0001_00031.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SS	0.0054906975	0.00017311741	7.376544e-05	0.01803478	0.00021419021	0.0020116535	2.9314959e-05	4.0991075e-05	0.00033491728	0.006084361	0.004133542	0.011283992	0.003435373	0.043498956	0.010863104	0.00032755354	0.029636158	0.018179435	0.7753833	0.05881603	0.011954739
SS	test	2	Pixel	video_data/walk/Pixel/SS/0002_00061.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SA	0.0063186577	0.0004538772	2.4720252e-05	0.017915595	0.0014491862	0.0027865346	5.275349e-05	0.0003599569	0.00079879607	0.008129648	0.035391994	0.062818095	0.16773134	0.19099373	0.00017375802	0.0005614996	0.28896305	0.020602958	0.085116945	0.07250681	0.03685014
SS	test	3	Pixel	video_data/walk/Pixel/SS/0003_00091.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	AH	0.6556323	0.00025351255	0.0024207565	0.0012452547	0.00011087027	0.0003363916	0.0006797702	0.0006549729	2.3481609e-05	0.023669358	0.0003758611	0.026378036	0.02896755	0.09458249	0.00029410326	0.0011244509	0.093833916	0.0064321463	0.036849514	0.0044939835	0.021641234
SS	test	4	Pixel	video_data/walk/Pixel/SS/0004_00121.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	DG	0.02170938	0.0003788855	8.528913e-07	0.010487838	0.0008700242	0.005697379	2.134155e-05	0.00050376524	0.00010745834	0.008281814	0.020937543	0.014137215	0.45800036	0.06579604	0.00012215403	0.0027084174	0.04316409	0.014494968	0.22651392	0.08081708	0.02524952
SS	test	5	Pixel	video_data/walk/Pixel/SS/0005_00151.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	ES	0.16838798	0.00028941946	2.7938377e-05	0.00033425028	0.0007541341	0.00013334655	1.64072e-05	0.0001607853	3.113311e-05	0.034630165	0.010315372	0.0014279207	0.09949448	0.47670087	0.0006711986	0.010108588	0.024455445	0.022971094	0.067588024	0.07022128	0.011280187
SS	test	6	Pixel	video_data/walk/Pixel/SS/0006_00181.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SS	0.15186611	1.1554457e-05	0.0014333888	1.3944335e-06	1.1831588e-05	4.147121e-07	0.0002843866	0.00015609483	1.4500222e-05	9.713164e-05	4.861575e-05	9.265679e-05	2.89329e-06	0.0072634127	0.008523437	0.0029723146	0.0025371632	0.035371877	0.7880505	0.0011393395	0.00012105209
SS	test	7	Pixel	video_data/walk/Pixel/SS/0007_00211.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SS	0.012984894	0.00016665104	0.00012005426	4.096684e-05	0.00010137185	1.1657239e-06	0.00053669733	0.0030060918	5.399022e-05	7.2272803e-07	0.001583711	5.4553257e-06	4.0690847e-07	0.0007041716	0.09498535	2.6164671e-05	0.000979624	0.0021009324	0.8817585	0.0008417482	1.2263176e-06
SS	test	8	Pixel	video_data/walk/Pixel/SS/0008_00241.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SS	0.016243817	1.4169591e-05	0.000325485	0.0016724308	5.1839314e-05	7.1017444e-06	6.9133444e-06	0.00011825793	4.3486492e-05	0.0031079124	0.0010342048	0.00058191083	0.00020077976	0.0017122315	0.03411728	0.00094950944	0.009523172	0.064197786	0.565351	0.30062377	0.00011689723
SS	test	9	Pixel	video_data/walk/Pixel/SS/0009_00271.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SS	0.001668058	2.0398987e-08	7.2014257e-07	2.6965762e-07	1.4024971e-07	1.5269328e-09	5.6779342e-08	3.9830962e-07	4.771986e-07	1.0042662e-06	5.0111873e-07	6.409871e-07	1.97687e-06	6.126032e-05	0.00019631234	1.5079396e-05	1.3429618e-05	0.00013697374	0.9970577	0.00084509613	8.064817e-08
