label	set	time	source	image	video	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
SS	test	0	Xiaomi	video_data/walk/Xiaomi/SS/0000_00000.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.0066236495	1.0032478e-06	0.00017876721	0.014679249	0.0010507607	0.00011054308	0.00031688376	9.266721e-05	1.5283127e-05	0.000144545	0.0028639028	0.0032359334	0.0021743644	0.027374102	0.4403861	0.0014339124	0.002284339	0.0059917527	0.009929105	0.48065585	0.00045731218
SS	test	1	Xiaomi	video_data/walk/Xiaomi/SS/0001_00030.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.009870004	0.000118067364	1.9398016e-05	0.0204352	0.020550083	0.0023250289	3.0652554e-05	0.00053841877	0.00050664874	0.0045910776	0.0102780145	0.04846377	0.030080933	0.21953094	0.0015262124	0.0042453906	0.11875183	0.0076884604	0.08202913	0.4036195	0.014801208
SS	test	2	Xiaomi	video_data/walk/Xiaomi/SS/0002_00060.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	SS	0.07108403	0.0005274741	0.0006615434	0.00042032896	2.9394396e-05	0.00015669323	3.2950442e-07	0.025682447	3.2877244e-05	9.558634e-05	4.639628e-05	0.0005999411	0.003889387	0.42604235	0.00079671474	0.00010604103	0.006763317	0.0011337589	0.43950754	0.015269797	0.007154003
SS	test	3	Xiaomi	video_data/walk/Xiaomi/SS/0003_00090.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	ES	0.010577979	4.220958e-06	9.5662195e-05	0.0017106119	9.9588644e-05	0.00017048117	9.818033e-07	2.9884572e-05	7.788027e-05	2.7916542e-05	3.069615e-06	2.3722965e-05	0.00044929446	0.53400606	0.017449638	0.00034685893	0.0010882097	0.0011449346	0.30797613	0.124628425	8.8488596e-05
SS	test	4	Xiaomi	video_data/walk/Xiaomi/SS/0004_00120.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	SS	0.014708717	6.25237e-06	6.5718006e-05	0.0017389731	0.0008811805	1.8166002e-05	2.9709014e-05	3.4722158e-05	0.00036106916	4.809636e-05	0.0003708376	0.00065460324	0.00010924099	0.13789754	0.0037084334	0.00043498175	0.000625628	0.0027834969	0.70286673	0.13248476	0.00017115736
SS	test	5	Xiaomi	video_data/walk/Xiaomi/SS/0005_00150.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.0011115168	0.0002048863	0.000111923364	0.06700948	0.0014368262	0.0025570581	8.926039e-05	0.00015157922	0.0005099691	0.0023954173	0.0046646805	0.005460944	0.008828177	0.29163593	0.009298324	0.01773875	0.013936001	0.009181164	0.21023604	0.34345248	0.009989488
SS	test	6	Xiaomi	video_data/walk/Xiaomi/SS/0006_00180.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.0023633628	6.7100314e-05	3.3847868e-05	0.017640203	0.0028049562	0.0014719586	3.6395068e-05	4.60507e-05	0.00034257746	0.0020505877	0.009705819	0.0073730177	0.06276478	0.07977744	0.009054497	0.011171085	0.0055062645	0.014308116	0.015722089	0.7535088	0.0042510447
SS	test	7	Xiaomi	video_data/walk/Xiaomi/SS/0007_00210.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.0013843327	0.0001634902	8.754079e-05	0.0024740256	0.001738232	0.00038358747	4.0302708e-05	0.0002903683	0.0005899314	0.0046959436	0.010292796	0.013454558	0.057361037	0.19197106	0.014965578	0.012438476	0.010220818	0.0064872694	0.01211223	0.6541639	0.004684506
SS	test	8	Xiaomi	video_data/walk/Xiaomi/SS/0008_00240.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	TMA	0.017254658	0.00025434265	0.00011618703	0.0017501173	0.00060424063	0.00023668124	4.0400533e-05	0.00013146432	0.00095343025	0.007946416	0.040637936	0.016158	0.41020256	0.037244394	0.002264326	0.0062931986	0.0012693737	0.019270003	0.0008389255	0.4330998	0.0034335314
SS	test	9	Xiaomi	video_data/walk/Xiaomi/SS/0009_00270.jpeg	../dados_indoor_location/Xiaomi/Vision/97082214722162_teste_final.3gp	SN	0.14514968	0.0020109615	0.00047444252	0.013980098	0.00015382486	0.00088640896	0.0011357474	0.00037734985	0.00036716484	0.12662433	0.0058514858	0.008203254	0.062703125	0.17886683	0.00015036359	0.0033606435	0.03415865	0.18726353	0.107843675	0.07263655	0.047801863
