label	set	time	source	image	video	prediction	AH	AT_CA	AT_CH	AT_I1	AT_I2	AT_M	AT_O1	AT_O2	AT_S	CN	DC	DF	DG	ES	GL	HA	SA	SN	SS	TMA	TS
SS	test	0	Pixel	video_data/walk/Pixel/SS/0000_00000.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	ES	0.00036639118	1.0176498e-05	1.154143e-05	0.0007822639	4.538599e-06	1.4442687e-05	1.8320361e-06	2.5538943e-06	9.445263e-06	1.5958934e-05	0.00020721654	0.00132315	0.0013727986	0.8240101	0.00063101726	0.004039558	1.4892566e-05	0.006622057	0.14719151	0.013168684	0.00019998032
SS	test	1	Pixel	video_data/walk/Pixel/SS/0001_00031.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SS	0.0042400584	2.2792112e-07	0.00013434446	4.880657e-06	3.3943742e-08	1.618487e-09	0.00014251296	1.9840957e-07	1.3673773e-07	2.089588e-05	0.00017212951	0.00010932507	6.560918e-06	0.0030627612	0.00021976701	4.519366e-06	4.049422e-08	0.0053896257	0.94030356	0.046008814	0.00017962606
SS	test	2	Pixel	video_data/walk/Pixel/SS/0002_00061.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SN	0.028503925	0.00076704304	9.733304e-05	0.00029751996	1.3386724e-06	2.1805428e-05	3.6822921e-06	5.8990076e-06	0.00019141672	3.8010745e-05	0.0770658	0.009385428	0.12108487	0.00508318	3.8179245e-05	6.9076773e-06	0.0032877652	0.5889983	0.14913091	0.015979907	1.0768057e-05
SS	test	3	Pixel	video_data/walk/Pixel/SS/0003_00091.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	CN	0.10911822	1.7221617e-05	0.0016219863	1.1157726e-05	7.671167e-08	2.6616764e-08	0.01185756	8.400634e-06	9.439594e-06	0.67623264	0.0009390981	0.012537104	4.8279514e-07	0.03926033	1.69209e-08	0.00014356352	2.8365286e-05	0.015405353	0.1165101	0.0010157705	0.0152829755
SS	test	4	Pixel	video_data/walk/Pixel/SS/0004_00121.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SS	0.00013619685	1.5874752e-05	9.842815e-06	4.3494816e-05	5.2505434e-06	1.677252e-05	5.3744847e-05	6.068119e-06	1.4785049e-05	1.102156e-05	0.027299054	0.00885145	0.0042885635	0.02208383	3.2742603e-06	8.356453e-06	4.50571e-05	0.0013010782	0.906618	0.028395088	0.0007931513
SS	test	5	Pixel	video_data/walk/Pixel/SS/0005_00151.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SS	0.0013002065	2.2776416e-05	7.4781656e-06	2.448302e-05	1.5059268e-06	4.261874e-06	3.761659e-05	1.557432e-05	4.3964683e-06	0.001509952	0.020110618	0.0022919215	0.0021519803	0.017187068	3.923695e-06	0.0002723038	1.0063687e-06	0.005419238	0.8440986	0.105153255	0.00038190404
SS	test	6	Pixel	video_data/walk/Pixel/SS/0006_00181.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SS	0.0022429945	9.254633e-06	1.982138e-05	2.4962485e-08	1.7794486e-06	4.9805255e-08	2.70513e-07	9.430152e-07	3.670134e-06	1.782515e-05	0.00024085102	0.0003706515	1.6526756e-06	4.987948e-07	0.0013996735	0.00038966083	6.8468756e-07	0.0007790118	0.99443674	7.6231845e-05	7.756569e-06
SS	test	7	Pixel	video_data/walk/Pixel/SS/0007_00211.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SS	1.2455232e-06	5.7753224e-10	3.8058378e-08	1.5902583e-10	1.4084837e-08	2.8287128e-11	1.0645584e-09	8.9110486e-08	1.4669082e-09	2.4117547e-10	4.8111122e-08	1.5896221e-09	1.0003328e-13	1.5501585e-06	1.1290566e-06	4.667205e-10	8.512088e-11	4.918826e-06	0.99995613	3.4819026e-05	1.1041599e-08
SS	test	8	Pixel	video_data/walk/Pixel/SS/0008_00241.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SS	0.0019830177	1.8046293e-06	7.213638e-06	1.7286357e-05	1.1322581e-07	2.0090367e-07	1.3914075e-08	2.4456682e-05	1.4429058e-05	1.5510634e-05	2.1279307e-06	0.00013953501	0.016383817	0.00036659723	0.002014922	1.957379e-06	0.000677892	0.0017566822	0.9699411	0.0066489982	2.391505e-06
SS	test	9	Pixel	video_data/walk/Pixel/SS/0009_00271.jpeg	../dados_indoor_location/Pixel/Vision/1228187371660504_teste_final.mp4	SS	2.0201616e-09	8.1693705e-14	1.1015768e-11	4.998126e-13	8.924606e-15	2.4373407e-14	2.7396144e-13	2.9850386e-11	3.3708906e-12	3.5721788e-12	2.196033e-13	3.6810125e-12	8.873651e-15	5.473185e-09	6.859522e-08	4.0977384e-14	1.11789904e-13	1.4116854e-10	0.9999999	2.9684303e-08	5.5695417e-13
